image_path,question,answer, answer
ad/ad083d2c.jpg,What is the figure printed?,Buddha,
05/05788c1d.jpg,What is the brand?,Symbol,
2f/2f357c87.jpg,What is the case color?,Multicolor,
2a/2a61db09.jpg,What type of hangers are these?,Clothes,
d8/d87c9e5c.jpg,What color are they?,Gray,
1f/1fe60e28.jpg,What is the pattern?,Puppy,
65/6511cd8d.jpg,What is the necklace material?,Silver,
b3/b387ed4a.jpg,What is the pattern?,Floral,
de/dee26440.jpg,What style are these?,Running,
51/51d54d71.jpg,What type of furniture?,Dresser,
3f/3f8fb0a0.jpg,What is the case material?,Plastic,
5d/5d8f395f.jpg,What's the case's color?,Multicolor,
2f/2f357c87.jpg,What is the style?,Girlie,
de/deed5050.jpg,What is the material?,Stone,
f4/f4bf9eea.jpg,What is the brand?,365,
36/36cae1bf.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the phone model?,Moto,
ee/ee8ee952.jpg,What is the phone brand?,Apple,
db/dbe351e5.jpg,What is the shoe type?,Shoes,
38/38099402.jpg,What is the color described as?,Linen,
36/36cae1bf.jpg,What is the model?,X2,
67/67833b58.jpg,What color is it?,Black,
7c/7c880a41.jpg,What type is the lotion?,Body,
35/3595924e.jpg,What is the product type?,Chair,
07/073aefc3.jpg,What is the pattern?,Triangles,
68/682de492.jpg,What is the shape?,Square,
db/db413b6e.jpg,What is it made of?,Others,
50/503bb63b.jpg,What is the pattern?,Star,
1b/1b7fa88a.jpg,What is the material?,Wood,
0a/0acf427f.jpg,What is the product type?,Cup,
82/82d46008.jpg,What is the model name?,Y1339,
ee/ee8ee952.jpg,Is there a warranty?,No,
b8/b840448c.jpg,How many jars?,Four,
a9/a953fb09.jpg,Is it designer?,Yes,
bf/bfe06cce.jpg,What is the design?,Blocks,
71/7148c39e.jpg,What is the pendant shape?,Heart,
fb/fb072c0c.jpg,What is the brand?,AmazonBasics,
ca/ca49890c.jpg,What is the brand?,Solimo,
9c/9cda9898.jpg,What is the brand?,Solimo,
65/65e5aec0.jpg,What is the knob's color?,Brass,
ee/ee8ee952.jpg,What is its color?,Others,
58/58313fc7.jpg,Is it 3D printed?,Yes,
e3/e3c96f92.jpg,What color is the stapler?,Black,
e5/e5de71df.jpg,What shape are the legs?,Square,
66/66f3a68c.jpg,Is the case 3D?,Yes,
8b/8bd3653e.jpg,What brand is this?,Solimo,
2f/2f357c87.jpg,Is it flexible?,Yes,
36/36a32d3f.jpg,What is the product's brand?,Solimo,
5e/5ea52f0f.jpg,What food is it?,Couscous,
24/244b9114.jpg,What is the protein?,2g,
47/47f0c738.jpg,What is the brand?,Solimo,
f0/f0dc7217.jpg,What is the product type?,Shoes,
