image_path,question,answer, answer
c2/c20aa6ca.jpg,What is the brand?,Solimo,
c2/c20aa6ca.jpg,What type of case is it?,Hard,
c2/c20aa6ca.jpg,What is the color?,Others,
c2/c20aa6ca.jpg,What is the phone model?,Lenovo,
c2/c20aa6ca.jpg,Is it patterned?,Yes,
c2/c20aa6ca.jpg,Is the item 3D printed?,Yes,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What type of case?,Hard,
ee/ee8ee952.jpg,What is the color?,Others,
ee/ee8ee952.jpg,What is it?,Cover,
ee/ee8ee952.jpg,What brand phone?,Lenovo,
49/49b1b22b.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,What is the print type?,3D,
49/49b1b22b.jpg,What type of case is it?,Hard,
49/49b1b22b.jpg,What is the phone model?,Lenovo,
49/49b1b22b.jpg,Is there warranty?,No,
49/49b1b22b.jpg,What is the cover's color?,Others,
fc/fcbcca02.jpg,What brand is this?,Solimo,
fc/fcbcca02.jpg,What is the phone color?,Others,
fc/fcbcca02.jpg,What is the design style?,Stylish,
fc/fcbcca02.jpg,Is it hard or soft case?,Hard,
fc/fcbcca02.jpg,What is the product type?,Case,
fc/fcbcca02.jpg,What kind of print?,3D,
fc/fcbcca02.jpg,What phone is it for?,Lenovo,
fc/fcbcca02.jpg,What is the color code?,Others,
fc/fcbcca02.jpg,What is the pattern?,Couples,
66/66f3a68c.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What type of case is it?,Hard,
66/66f3a68c.jpg,What is the product's color?,Others,
66/66f3a68c.jpg,What is it for?,Lenovo,
66/66f3a68c.jpg,Is it printed?,Yes,
66/66f3a68c.jpg,Is it a cover?,Yes,
66/66f3a68c.jpg,Is it slim?,Yes,
30/3079540e.jpg,What is the case's brand?,Solimo,
30/3079540e.jpg,What is the case's material?,Wood,
30/3079540e.jpg,What is the case's color?,Multicolor,
30/3079540e.jpg,What is the print style?,3D,
30/3079540e.jpg,Is the case hard or soft?,Hard,
30/3079540e.jpg,What is the design's theme?,Leaf,
1b/1b7fa88a.jpg,What is the brand?,Solimo,
1b/1b7fa88a.jpg,What is the color?,Others,
1b/1b7fa88a.jpg,What is the material?,Wood,
1b/1b7fa88a.jpg,Is it patterned?,Yes,
1b/1b7fa88a.jpg,What is the phone's brand?,Sony,
49/49b1b22b.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,What is the color?,Others,
49/49b1b22b.jpg,What is it made of?,Wood,
49/49b1b22b.jpg,What type of case?,Hard,
49/49b1b22b.jpg,What is the style?,Designer,
66/66f3a68c.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What is the color?,Others,
66/66f3a68c.jpg,What is the material?,Wood,
66/66f3a68c.jpg,What is the case style?,Hard,
66/66f3a68c.jpg,What is the design?,Leaf,
ee/ee8ee952.jpg,What brand is this?,Solimo,
ee/ee8ee952.jpg,Is it patterned?,Yes,
ee/ee8ee952.jpg,What is the material?,Wood,
ee/ee8ee952.jpg,Is it colorful?,Yes,
ee/ee8ee952.jpg,What shape is it?,Flat,
f9/f9a7cb71.jpg,What is the rug's brand?,Stone,
f9/f9a7cb71.jpg,What is the rug's style?,Contemporary,
f9/f9a7cb71.jpg,What is the product type?,Furniture,
f9/f9a7cb71.jpg,What is the rug's material?,Wool,
f9/f9a7cb71.jpg,What is the rug's pattern?,Doily,
16/169f6b46.jpg,What is the product style?,Contemporary,
16/169f6b46.jpg,What is the product material?,Wool,
16/169f6b46.jpg,What is the brand name?,Stone,
16/169f6b46.jpg,What is the product type?,Furniture,
16/169f6b46.jpg,What is the rug's color?,Ivory,
a2/a299925d.jpg,What is the rug's brand?,Stone,
a2/a299925d.jpg,What is the rug's primary color?,White,
a2/a299925d.jpg,What is the product type?,Furniture,
a2/a299925d.jpg,What is the rug's style?,Contemporary,
a2/a299925d.jpg,Is the rug rectangular?,Yes,
a2/a299925d.jpg,What is the rug made of?,Wool,
a2/a299925d.jpg,Is this rug indoor?,Yes,
a2/a299925d.jpg,Does the rug have patterns?,Yes,
72/722dd075.jpg,What is the rug's style?,Contemporary,
72/722dd075.jpg,What is the product type?,Furniture,
72/722dd075.jpg,What is the brand?,Stone,
72/722dd075.jpg,What is the rug's material?,Wool,
72/722dd075.jpg,What pattern is on the rug?,Doily,
72/722dd075.jpg,What is the rug's color?,Ivory,
d2/d2823798.jpg,What is the rug's brand?,Stone,
d2/d2823798.jpg,What is the rug's dominant color?,Ivory,
d2/d2823798.jpg,What is the product style?,Contemporary,
d2/d2823798.jpg,What is the rug's material?,Wool,
d2/d2823798.jpg,What is the product type?,Furniture,
d2/d2823798.jpg,What is the item shape?,Rectangle,
26/26ae5dfc.jpg,What is the product's material?,Plastic,
26/26ae5dfc.jpg,What is the brand name?,Solimo,
26/26ae5dfc.jpg,What is the product color?,Multicolor,
26/26ae5dfc.jpg,How many racks?,Three,
26/26ae5dfc.jpg,What is the frame color?,White,
8f/8f17599c.jpg,What is the brand?,Solimo,
8f/8f17599c.jpg,What is it made of?,Plastic,
8f/8f17599c.jpg,What is the product color?,Multicolor,
8f/8f17599c.jpg,How many racks are there?,Three,
8f/8f17599c.jpg,Is it for home?,Yes,
dd/ddd5bc6c.jpg,What is the brand?,Solimo,
dd/ddd5bc6c.jpg,What material is this?,Plastic,
dd/ddd5bc6c.jpg,What is the product color?,Multicolor,
dd/ddd5bc6c.jpg,How many racks?,Three,
dd/ddd5bc6c.jpg,Is it for home?,Yes,
78/78498024.jpg,What is the product's color?,Multicolor,
78/78498024.jpg,What is it made of?,Plastic,
78/78498024.jpg,How many racks are there?,Three,
