image_path,question,answer,generated_answer
a1/a1f37cc0.jpg,What is the pattern?,Comforter,solid
77/772f6f1f.jpg,What brand is this?,206,ugg
1d/1d3c1567.jpg,What is the brand?,Solimo,mtt
fb/fb57539f.jpg,Is it 3D?,Yes,no
e0/e030ba61.jpg,What is the product type?,Grocery,100% arabica coffee beans
49/49b1b22b.jpg,What type of case is it?,Hard,optimal lift
1f/1f243ec0.jpg,What kind of shoe is it?,Running,leone
50/50ce84a2.jpg,What type of wash?,Handwash,liquid handwash
49/49b1b22b.jpg,What is the product's brand?,Solimo,apple
0f/0fc9d6c7.jpg,What is the product type?,Case,phone case
34/3463e6ee.jpg,What is the rug made of?,Leather,wool
d0/d07053a4.jpg,What is the brand?,Solimo,samsung
2f/2f357c87.jpg,What is the design?,Designer,butterfly
5a/5ad0321d.jpg,What shape is the rug?,Rectangular,rectangle
9f/9f6f86ac.jpg,What is the print?,Alphabet,optimal lift
13/13a5c102.jpg,What is the pattern?,Alone,alone
83/83b488c1.jpg,What is the brand?,Solimo,oneplus
d1/d12f8cfe.jpg,What is the product color?,Pink,pink
ee/ee8ee952.jpg,Is it 3D printed?,Yes,no
d8/d89025e7.jpg,Is the surface flat?,No,yes
9a/9ad9be51.jpg,What is the shoe's style?,Sneakers,sneaker
fb/fb791403.jpg,What form does it come in?,Lozenge,nicotine lozenge
96/9650257a.jpg,Is this an accessory?,Yes,yes
2f/2f357c87.jpg,What is the product style?,Pattern,butterfly
d2/d2e3504e.jpg,What color is it?,Adobe,brown
78/7862c7e2.jpg,What is it made of?,Plastic,leather
28/28d5f1fa.jpg,What is the seat height?,Nineteen,"19"""
84/841fb07d.jpg,What is the lifestyle?,Business,casual
2f/2f925f9c.jpg,What brand is it?,Solimo,hybrid protection
ee/ee8ee952.jpg,For which phone is it?,Huawei,iphone 6 plus
56/56006322.jpg,What are the beads made of?,PVC,tangle-free
b1/b18119f1.jpg,What is the model name?,Security,model 100
3a/3a137134.jpg,What is the product's brand?,Happy,danone
b5/b56059e4.jpg,What style is this chair?,Traditional,modern
0f/0fcca014.jpg,What is the brand?,Solimo,vivo
bc/bca708d2.jpg,Is it cooked?,Fully,no
85/85192c70.jpg,What type of case is it?,Back,transparent sides
59/59cd4aea.jpg,What is the style of stew?,Moroccan,moroccan
76/767e428b.jpg,What is the product type?,Shoes,shoes
92/92d3bf45.jpg,What is the outer material?,Leather,leather
8a/8a080ea8.jpg,What is the case's color?,Multi,blue
e5/e53a746d.jpg,What color is the bottle?,White,white
00/0063ecfe.jpg,What is the curtain style?,Blackout,grommet
66/66f3a68c.jpg,For which model?,Honor,iphone 6 plus
49/49b1b22b.jpg,What is the case's color?,Others,black
e7/e716452d.jpg,What color is the mount?,White,black
51/511dfbce.jpg,What is the brand?,find,levi's
