image_path,question,answer, answer
ca/ca26f773.jpg,What is the vehicle's name?,Seltos,
ee/ee8ee952.jpg,For what model?,K7,
d7/d78eed24.jpg,What is the case type?,Back,
d0/d0a2047d.jpg,What is the heel type?,Flats,
ee/ee8ee952.jpg,Is it slim?,Yes,
8d/8d8dbde3.jpg,What is the product type?,Chair,
f5/f541591c.jpg,What is the furniture's brand?,Right2Home,
b4/b4be42f3.jpg,What is the product type?,Case,
95/9585b2c0.jpg,What is the brand name?,Amazon,
2f/2f357c87.jpg,Is it a designer case?,Yes,
58/584a79fe.jpg,What is the product type?,Shoes,
f2/f2ed32d3.jpg,What is the brand?,AmazonBasics,
a0/a064d16e.jpg,What is the color?,Tan,
b4/b46b8cb7.jpg,What is the chair's color?,Smoke,
ee/ee8ee952.jpg,What type of case is it?,Hard,
2f/2f357c87.jpg,What is the model?,Vivo,
b3/b3528d94.jpg,What is the brand of the case?,Solimo,
66/66f3a68c.jpg,What is the cover's color?,Others,
0b/0bab63b7.jpg,How much protein?,Three,
64/648af2e2.jpg,What is the product type?,Case,
13/13275e95.jpg,Is it hard?,Yes,
32/3268eb71.jpg,What is the brand?,find,
69/69592056.jpg,What is the shoe's brand?,Red,
ee/ee8ee952.jpg,Is it slim?,Yes,
48/48a2888d.jpg,Is it a panel?,Phone,
85/85192c70.jpg,Is it flexible?,Yes,
b8/b83c34c8.jpg,How many ports?,Three,
ee/ee8ee952.jpg,Is it hard or soft?,Hard,
2f/2f357c87.jpg,What is the material?,Silicone,
d3/d3f73480.jpg,What kind of beans are used?,Arabica,
7b/7bef1b9a.jpg,Are there flowers?,Yes,
27/2735d3ec.jpg,What is the bag's primary color?,Blue,
ec/ecaceed2.jpg,What is the material?,Glass,
21/216b76dd.jpg,What is the main color?,Pink,
be/bea4f512.jpg,What is the design on the case?,Cactus,
ee/ee8ee952.jpg,Is the cover printed?,Yes,
b7/b753026a.jpg,Does the product have a door?,Yes,
93/937fbd6d.jpg,What is the frame material?,Hardwood,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the brand?,Solimo,
93/937fbd6d.jpg,What is the chair's color?,Grey,
c5/c55d43ec.jpg,What is the model name?,Arbor_HS01,
f0/f0a252ec.jpg,What is the shoe brand?,Bourge,
66/66f3a68c.jpg,What is it a cover for?,Mobile,
71/719604fd.jpg,What is the cover pattern?,Tree,
7c/7c86ca9f.jpg,How many stones are there?,Seven,
2f/2f357c87.jpg,What is the material?,Silicon,
d3/d3f73480.jpg,Is it decaf?,Yes,
77/778e682c.jpg,What is the print pattern?,Moon,
41/41abbc4d.jpg,What is the shape?,Rectangular,
ee/ee8ee952.jpg,What's the cover's color?,Others,
66/66f3a68c.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,Is the cover hard or soft?,Hard,
e1/e13eb794.jpg,Are there peppers?,Yes,
16/1619d1db.jpg,What is the product type?,Case,
22/22bf54f8.jpg,What type of product is this?,Chair,
2f/2f357c87.jpg,What is the model name?,Oppo,
63/6383d7ce.jpg,What is the product?,Case,
e5/e56ee97d.jpg,What is the upper material?,Leather,
ce/ce29af19.jpg,What brand is it?,Solimo,
38/3820e403.jpg,What is the brand?,Fix,
0a/0adfbd28.jpg,What is the pattern?,Block,
ac/ac532c89.jpg,What is the hardware material?,Iron,
a3/a3bc54c6.jpg,What is the brand?,Solimo,
36/36f0b03d.jpg,What brand is it?,Solimo,
c7/c75a6238.jpg,What is the pattern?,Printed,
f9/f99aa9b2.jpg,What is printed on it?,King,
00/00535509.jpg,Is it printed?,Yes,
95/95b3abb9.jpg,What is the pattern?,Interlocking,
db/dbbec7fd.jpg,What is the case's pattern?,Check,
25/255c8525.jpg,What color is it?,Slate,
42/42c69ff7.jpg,What is the product brand?,AmazonBasics,
f2/f2996c7c.jpg,What is the case's color?,Multicolor,
d8/d87e51cf.jpg,What type is it?,Case,
1c/1c23d567.jpg,What is the brand?,Solimo,
cc/ccfa6667.jpg,What animal is the base?,Frog,
2f/2f357c87.jpg,What is the cover made of?,Silicone,
42/42b07e22.jpg,What is the upholstery material?,Fabric,
3c/3cc40d00.jpg,What is the case's material?,Silicone,
2f/2f357c87.jpg,What is the item's brand?,Solimo,
47/47f0c738.jpg,What is the case color?,Multi,
48/48dbb2ef.jpg,Is it suitable for cooking?,Yes,
ee/ee8ee952.jpg,What is the item?,Cover,
4f/4f162079.jpg,What type of food is it?,Cereal,
59/5989801e.jpg,What is the color?,Others,
6e/6edc28f4.jpg,What is the item weight in grams?,500,
8e/8e440efc.jpg,What is the product type?,Home,
49/49b1b22b.jpg,What is the product type?,Case,
0a/0a0487a0.jpg,What is the case color?,Multicolor,
57/5761e78b.jpg,What is the pattern?,Marble,
ee/ee8ee952.jpg,What is the case's pattern?,Block,
74/74d0901a.jpg,What is the brand?,Basic,
47/47f5b7a8.jpg,What is the brand name?,Solimo,
d5/d5d1b09e.jpg,What is this item packaged in?,Plastic,
d9/d9f359ec.jpg,What is the product type?,Sandal,
52/52ba53ab.jpg,Is it a hard case?,Yes,
58/5860ee51.jpg,What is the brand?,Stone,
41/41cb1c7d.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the case's design?,Remote,
ee/ee8ee952.jpg,What is it made of?,Wood,
09/09b2a62d.jpg,What color is the wallet?,Black,
d8/d89025e7.jpg,What is the design?,Abstract,
d8/d87e51cf.jpg,Is it printed?,Yes,
