image_path,question,answer, answer
97/9725ce23.jpg,What is the frame made of?,Steel,
85/8539ebd8.jpg,What is the product type?,Case,
2c/2c1b3ae3.jpg,What brand is this?,365,
ec/ec27c3da.jpg,What kind of case is it?,Back,
3c/3c12dc6f.jpg,Is there a stone?,Yes,
19/195a62cd.jpg,What is the case's print?,3D,
f6/f620505a.jpg,What shape is the rug?,Rectangular,
d8/d87e51cf.jpg,What is the item shape?,,
2f/2f357c87.jpg,What is it made of?,Silicon,
02/023806d4.jpg,Is it patterned?,Yes,
ee/ee8ee952.jpg,Is it hard?,Yes,
5a/5a9e321f.jpg,What brand is this?,365,
2f/2f357c87.jpg,What is the main material?,Silicon,
ee/ee8ee952.jpg,What is the case color?,Others,
17/17cd58fa.jpg,What is the product type?,Shoes,
c3/c3ec2963.jpg,What is the case's color?,Pink,
22/22f7a20f.jpg,What is the brand?,AmazonBasics,
ee/ee8ee952.jpg,Is it hard?,Yes,
4a/4a01405f.jpg,What is the color?," ""Anthracite""",
53/538f4abe.jpg,What is the model?,OnePlus,
15/1598d569.jpg,What color is it?,White,
92/92dbad9a.jpg,What is written on it?,Supergirl,
2e/2e28e920.jpg,What is the brand?,Solimo,
5f/5f7f4ff8.jpg,What is the product's brand?,Rivet,
8d/8db32991.jpg,Is it designer case?,Yes,
2b/2b94ad92.jpg,What color are these boots?,Grey,
b2/b2c1bee0.jpg,What is the brand name?,Truth,
b5/b5134cf7.jpg,Is item handmade?,No,
ee/ee8ee952.jpg,Is it patterned?,Yes,
55/55ca6aed.jpg,Is it plated?,Yes,
47/47f0c738.jpg,For what phone is this?,iPhone,
73/733e08b0.jpg,What is the main material?,Fleece,
fe/fe806f0b.jpg,Is it glass?,Yes,
2f/2f357c87.jpg,What is the design?,Butterfly,
8c/8cff4ce4.jpg,What is the pattern?,Brick,
5e/5ecbe7e8.jpg,What brand is this case?,Solimo,
91/910c0693.jpg,What is it made of?,Steel,
d8/d87e51cf.jpg,What is the color?,Multicolor,
4c/4c74dfff.jpg,What is the seat material?,Mesh,
eb/eb283b42.jpg,What is the metal color?,Gold,
94/9432a1ed.jpg,What is the case color?,Multicolor,
4f/4fc6e8df.jpg,What is on the bag?,Penguins,
b8/b83f8257.jpg,What is the cover's color?,Others,
2f/2f357c87.jpg,What is the case material?,Silicon,
d8/d87e51cf.jpg,What is the case brand?,Solimo,
b4/b45c036a.jpg,What is the pattern?,Square,
7a/7a461df8.jpg,What color are the cushions?,Beige,
69/6959e90b.jpg,What's the item shape?,Rectangle,
ee/ee8ee952.jpg,What is the print?,3D,
a8/a82b2106.jpg,What is the brand?,Amazon,
d9/d90047db.jpg,What is the item's type?,HOME,
ee/ee8ee952.jpg,What is the phone model?,Huawei,
38/38ef80b6.jpg,What type of binding is used?,Sewn,
63/639b0688.jpg,What is the item shape?,,
ee/ee8ee952.jpg,What phone is it for?,Iphone,
e6/e6aab3b6.jpg,What is the item shape?,Oval,
82/8279c293.jpg,What is the item's type?,Furniture,
c9/c9046405.jpg,What is the pattern?,Smiley,
ce/cedcac0b.jpg,What is the brand?,Solimo,
e0/e02209b1.jpg,How many brushes are there?,Twelve,
d3/d387f19f.jpg,What is the brand?,Presto,
99/99753e7f.jpg,What brand is this?,Solimo,
72/7265f9df.jpg,What is the device's model?,Y71,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
47/47f0c738.jpg,What is the product's brand?,Solimo,
a1/a15c59c2.jpg,What is the table's color?,Kona,
0b/0b98dfa6.jpg,What is the chair's style?,Medium,
7b/7b5bff00.jpg,Is there a pattern?,Solid,
ee/ee8ee952.jpg,What is the color?,Others,
38/38216fe5.jpg,What is the product's brand?,Rivet,
ee/ee8ee952.jpg,What is the brand?,Solimo,
2f/2f357c87.jpg,What is the design's color?,Multicolor,
d8/d87e51cf.jpg,Which phone is it for?,Vivo,
0d/0dc8bb97.jpg,What is the rug's color?,Chestnut,
f1/f104c583.jpg,What is the brand?,AmazonBasics,
ef/eff3d9bc.jpg,What kind of snack?,Healthy,
5a/5a9fa800.jpg,Is it religious?,Yes,
15/15507957.jpg,What is the item type?,Grocery,
0e/0eaaac67.jpg,What is the stone shape?,Round,
be/be5038f8.jpg,What is the brand?,Solimo,
60/60d8ef8d.jpg,What kind of product is this?,Grocery,
5a/5a9fd9bd.jpg,What is the brand?,Solimo,
65/657dee5f.jpg,What is the product type?,FineOther,
04/04e40c79.jpg,What is the item color?,Blue,
86/868fa9f2.jpg,What is the style?,Steel,
96/96189b45.jpg,What is the model?,M2,
32/32a1adaa.jpg,What is the pattern?,Lion,
5b/5b53742d.jpg,What fruit is it?,Mango,
34/343cc5f4.jpg,What is the brand?,Amazon,
ee/ee8ee952.jpg,What is the item shape?,Rectangular,
59/5960f15b.jpg,What is the slipper's color?,Black,
47/47f0c738.jpg,What is the primary color?,Multi,
ee/ee8ee952.jpg,Is it printed?,Yes,
26/267f7248.jpg,Is this case flexible?,Yes,
07/07864439.jpg,What color is the case?,Yellow,
7f/7f47232c.jpg,What is the product for?,Oppo,
c3/c371d412.jpg,What is the case color?,Multicolor,
76/769cc36c.jpg,Is it a heeled boot?,Yes,
8a/8a34270a.jpg,What is the style?,Leather,
b1/b1b4cf34.jpg,What is the brand?,365,
76/768e8e5b.jpg,What kind of case is it?,Designer,
d1/d1458aaa.jpg,How many servings?,24,
7e/7e30842b.jpg,What is the product type?,Accessory,
ba/ba4eb7da.jpg,What shape is it?,Rectangular,
1a/1ab1c244.jpg,What is the color?,Multicolor,
ee/ee8ee952.jpg,Which phone is this case for?,iPhone,
1e/1e1b7a7d.jpg,What is the product type?,BOOT,
87/8733167c.jpg,What is the print type?,3D,
2f/2f357c87.jpg,What is the product type?,Case,
3a/3a18db72.jpg,What is the fruit flavor?,Mango,
1f/1fbea341.jpg,What is the style?,Necklace,
74/74a07543.jpg,Is it for Asus?,Yes,
92/9275ca9c.jpg,What is the case's color?,Others,
d7/d7f1f5c1.jpg,Is it hard or soft?,Hard,
eb/eb9666d6.jpg,What is the pattern?,Star,
b2/b2b5c96d.jpg,What is the main stone color?,White,
a1/a1d23885.jpg,What is the brand?,Stone,
ee/ee8ee952.jpg,Is it printed?,Yes,
96/96764b69.jpg,What is the product brand?,Solimo,
ab/abb23336.jpg,What is the design?,Printed,
1d/1d10cc7f.jpg,Is the case patterned?,Yes,
db/dbbf14cc.jpg,Is it hard?,Yes,
af/af4a2511.jpg,What kind of fan is it?,Ceiling,
41/41a468d9.jpg,What is the phone model?,Realme,
2f/2f357c87.jpg,What is the brand?,Solimo,
18/1806786b.jpg,Are some keys yellow?,Yes,
ee/ee8ee952.jpg,What brand is this?,Solimo,
58/58255c0d.jpg,What is the shoe color?,Grey,
08/08edec16.jpg,What is the rug's color?,Taupe,
95/95311182.jpg,What is the brand?,Solimo,
1a/1a324361.jpg,What brand is this?,Solimo,
2f/2f357c87.jpg,What is the phone's brand?,Solimo,
80/800ac1e0.jpg,What is the product color?,Others,
46/462aa263.jpg,What type of item is this?,Furniture,
4f/4fc6e8df.jpg,What is the product?,Coffee,
5f/5f8202e6.jpg,What appliance is this?,Griddle,
2f/2f357c87.jpg,What is the background color?,Blue,
ee/ee8ee952.jpg,Which phone is this for?,iPhone,
c5/c5ec2ac0.jpg,What is the product type?,Home,
5f/5ffd495e.jpg,What shape are the charms?,Heart,
57/572f3834.jpg,What is the design on the case?,Butterflies,
38/388c812f.jpg,What is the product type?,Handbag,
ce/ce9ec8c0.jpg,Is drilling needed?,No,
dc/dc4d1392.jpg,What kind of shoe?,Pumps,
83/830e9651.jpg,Does it have a design?,Yes,
46/46e5ed70.jpg,What material is it made of?,Silicon,
2f/2f357c87.jpg,What is the design's color?,Multicolor,
1f/1fed11db.jpg,How many pieces?,145,
2b/2b4a78fb.jpg,What is the model name?,Redmi,
a7/a73f9805.jpg,What is the product type?,Case,
29/29a3124a.jpg,What color is it?,White,
a0/a0afc2e9.jpg,What is the brand?,AmazonBasics,
2b/2b45df7c.jpg,Is it printed?,Yes,
71/716fb394.jpg,What is the phone case color?,Multicolor,
87/87296967.jpg,What is the case material?,Plastic,
21/214a8874.jpg,What is the outer material?,PU,
11/112eda08.jpg,What color is it?,Black,
e6/e614af74.jpg,Is vinegar organic?,Yes,
f9/f92a16ae.jpg,How many stones?,Seven,
ee/ee8ee952.jpg,What is the product type?,Case,
4a/4ab3ead6.jpg,Is it 3D?,Yes,
81/818d2748.jpg,Is it durable?,Yes,
2f/2f357c87.jpg,What is the product type?,Case,
fd/fd71feca.jpg,Is it a single curtain?,Yes,
d1/d11ab158.jpg,What is the fabric?,Polyester,
cb/cb4d8968.jpg,What is the frame material?,Wood,
27/27344006.jpg,What kind of product is this?,Juice,
ee/ee8ee952.jpg,Is the design 3D?,Yes,
aa/aa3c062f.jpg,What is the shoe color?,Navy,
16/16be7751.jpg,What is the lining?,Fur,
20/20533b83.jpg,What flavors are available?,Strawberry,
97/9760f558.jpg,Is it inflated?,No,
2f/2f357c87.jpg,What is the brand?,Solimo,
72/7279ab4f.jpg,What is the closure?,Lace-Up,
5f/5f96ee18.jpg,Which alphabet is printed?,R,
ac/ac70b858.jpg,What color is it?,Walnut,
2b/2bffb1df.jpg,What is the product's color?,Grey,
ee/ee8ee952.jpg,Is there logo cut?,Yes,
47/47b99907.jpg,What color is this case?,Black,
bb/bbb97bc9.jpg,What is the product type?,AUTO_ACCESSORY,
c9/c96b4e4a.jpg,What is the product's material?,Polyester,
9a/9a13e5ee.jpg,What is the product type?,Grocery,
b6/b6e9deb0.jpg,What type of product is this?,Ring,
b1/b151e84d.jpg,What shape is it?,Rectangular,
10/102ca4a9.jpg,What is the brand name?,Solimo,
2f/2f357c87.jpg,What type of product is this?,Case,
b9/b9f56c90.jpg,What type of product is this?,PET_SUPPLIES,
47/47f0c738.jpg,What is the item color?,Others,
b8/b8c928eb.jpg,Is it 3D?,Yes,
a6/a6c3fd51.jpg,What is the blanket's material?,Fleece,
e0/e06248ae.jpg,What is the food's shape?,diced,
00/00550e86.jpg,How much total fat?,15g,
ee/ee8ee952.jpg,What brand is this?,Solimo,
69/694fe45e.jpg,What is the color?,Orange,
60/60a3e921.jpg,What is the design?,Printed,
68/68eec983.jpg,What is the brand?,AmazonCommercial,
61/61f69594.jpg,What is the print type?,3D,
73/730c106a.jpg,What is the closure type?,Lace-Up,
10/10095fe3.jpg,What is the toe style?,Closed,
92/92171bd6.jpg,Is it patterned?,Yes,
a7/a72eb0e0.jpg,What brand is this case?,Solimo,
d6/d6470f52.jpg,What color is it?,Chrome,
61/6180a00b.jpg,What flavor is this coffee?,Pumpkin,
65/657a1581.jpg,What is the case color?,Others,
2f/2f357c87.jpg,What brand is it?,Solimo,
7e/7ecf343f.jpg,Is the product vegan?,Yes,
a2/a2d65794.jpg,What is the sofa's color?,Neutral,
bf/bf378ffb.jpg,What brand is this?,Solimo,
cb/cb20ff4f.jpg,What is it made of?,Plastic,
2f/2f357c87.jpg,What is the product type?,Case,
ee/ee8ee952.jpg,What is the item weight in grams?,50,
47/47f0c738.jpg,What is the cover's brand?,Solimo,
1d/1ddef703.jpg,What is the brand?,AmazonBasics,
25/25044976.jpg,Is assembly needed?,No,
36/36e22ea1.jpg,What is the product type?,Binder,
2f/2f357c87.jpg,What is the product type?,Case,
6b/6bfc3a3a.jpg,What type of product is this?,Case,
5e/5e210cf7.jpg,What is the case's material?,Hard,
53/53f653b3.jpg,What is the brand?,Solimo,
fa/fa324949.jpg,What kind of bars?,Granola,
20/20743bf0.jpg,What is the product type?,Accessory,
ee/ee8ee952.jpg,What is the main color?,Others,
1f/1fd4353e.jpg,What is the phone case brand?,Solimo,
ee/eebab29a.jpg,What is the case's color?,Multicolor,
43/43b0a944.jpg,What is the shoe's color?,Olive,
45/45573415.jpg,What is the seat's material?,Leather,
b8/b8772e24.jpg,What is the material?,Silicone,
77/7747c142.jpg,Are there stars?,Yes,
2a/2a86639f.jpg,What is the phone brand?,Oppo,
a0/a0b12fb3.jpg,What brand is this?,UMI,
2f/2f357c87.jpg,What brand is it?,Solimo,
35/35d86a86.jpg,What is the pattern?,Plant,
db/db08325d.jpg,What is the product type?,Home,
3d/3dad1e61.jpg,What flavor is this?,Hazelnut,
5b/5b53742d.jpg,What is the brand?,365,
85/85891ebf.jpg,Flour type?,Wheat,
ee/ee8ee952.jpg,What is the item's brand?,Solimo,
80/8081b3d4.jpg,What is the case's color?,Multicolor,
a0/a0857cbc.jpg,What kind of care?,Basic,
ee/ee8ee952.jpg,Is it glittery?,Yes,
ee/ee8ee952.jpg,What type is it?,Case,
ee/ee8ee952.jpg,What is the color?,Others,
99/9987c075.jpg,What is the brand?,Solimo,
0b/0bc8ae44.jpg,What material is the outsole?,TPR,
2f/2f357c87.jpg,What is the design?,Panda,
92/92d8e0ae.jpg,What is the phone type?,Cellular,
ee/ee8ee952.jpg,What is the pattern?,Queen,
