image_path,question,answer
b0/b01a3299.jpg,What is the case's color?,Red
b0/b01a3299.jpg,What is the product's brand?,Solimo
b0/b01a3299.jpg,What is the design type?,Printed
b0/b01a3299.jpg,What is the product type?,Case
b0/b01a3299.jpg,What is the case's pattern?,No
b0/b01a3299.jpg,What is the case style?,Hard
ee/ee8ee952.jpg,What is the product type?,Case
ee/ee8ee952.jpg,What is the item shape?,Rectangle
ee/ee8ee952.jpg,What is the brand?,Solimo
ee/ee8ee952.jpg,What type of case is it?,Hard
ee/ee8ee952.jpg,What is the cover's color?,Others
b9/b92cff25.jpg,What is the case's color?,Red
b9/b92cff25.jpg,What is the brand?,Solimo
b9/b92cff25.jpg,What is printed on the case?,No
b9/b92cff25.jpg,What type of case is this?,Hard
b9/b92cff25.jpg,Is this a phone case?,Yes
b9/b92cff25.jpg,What is the product type?,Case
66/66f3a68c.jpg,What is the product type?,Case
66/66f3a68c.jpg,What is the brand name?,Solimo
66/66f3a68c.jpg,What is the cover's finish?,Hard
66/66f3a68c.jpg,What type of print is it?,3D
66/66f3a68c.jpg,What is the item color?,Multi
49/49b1b22b.jpg,What is the brand?,Solimo
49/49b1b22b.jpg,What is the product type?,Case
49/49b1b22b.jpg,Is it 3D printed?,Yes
49/49b1b22b.jpg,What is the cover style?,Back
49/49b1b22b.jpg,What is the color?,Others
92/92f644dd.jpg,What is the case's color?,Multicolor
92/92f644dd.jpg,What is the brand?,Solimo
92/92f644dd.jpg,What is the material?,Plastic
92/92f644dd.jpg,What is the pattern?,Triangles
92/92f644dd.jpg,What is the product type?,Case
d8/d87e51cf.jpg,What is the brand?,Solimo
d8/d87e51cf.jpg,What is the primary material?,Plastic
d8/d87e51cf.jpg,What is the pattern?,Triangles
d8/d87e51cf.jpg,What type of product is it?,Case
d8/d87e51cf.jpg,What is the main color?,Multicolor
81/813ff943.jpg,What is the case's color?,Multicolor
81/813ff943.jpg,What is the case's material?,Plastic
81/813ff943.jpg,What is the brand?,Solimo
81/813ff943.jpg,What is the item shape?,Triangles
81/813ff943.jpg,Is it a cover?,Yes
81/813ff943.jpg,What is it?,Case
2a/2af5eb88.jpg,What is the brand?,Solimo
2a/2af5eb88.jpg,What is the material?,Plastic
2a/2af5eb88.jpg,What is the color?,Multicolor
2a/2af5eb88.jpg,What is the type?,Case
2a/2af5eb88.jpg,What is the design?,Triangles
36/36cae1bf.jpg,What is the cover color?,Multicolor
36/36cae1bf.jpg,What is the case material?,Plastic
36/36cae1bf.jpg,What is the brand?,Solimo
36/36cae1bf.jpg,What type of case is it?,Hard
36/36cae1bf.jpg,What is the lift?,Optimal
1b/1b094fa6.jpg,What color is this case?,Black
1b/1b094fa6.jpg,What is the case material?,Plastic
1b/1b094fa6.jpg,What is the phone brand?,Amazon
1b/1b094fa6.jpg,What type of case is it?,Hard
1b/1b094fa6.jpg,What is the case's pattern?,Solid
d3/d33b7648.jpg,What color is it?,Black
d3/d33b7648.jpg,What is the brand?,Solimo
d3/d33b7648.jpg,What is the material?,Plastic
d3/d33b7648.jpg,What type is it?,Case
d3/d33b7648.jpg,What is the model?,A91
d8/d87e51cf.jpg,What is the color?,Black
d8/d87e51cf.jpg,What is the brand?,Solimo
d8/d87e51cf.jpg,What is it made of?,Plastic
d8/d87e51cf.jpg,What type of cover?,Back
d8/d87e51cf.jpg,What is the design?,Printed
d8/d87e51cf.jpg,For which model?,A91
2a/2af5eb88.jpg,What is the cover color?,Black
2a/2af5eb88.jpg,What is the cover brand?,Solimo
2a/2af5eb88.jpg,What is the cover material?,Plastic
2a/2af5eb88.jpg,What type of case is it?,Hard
2a/2af5eb88.jpg,What is the model name?,A91
36/36cae1bf.jpg,What color is it?,Black
36/36cae1bf.jpg,What is the brand?,Solimo
36/36cae1bf.jpg,What is it made of?,Plastic
36/36cae1bf.jpg,What is the model?,A91
36/36cae1bf.jpg,What is the type?,Case
38/385680d7.jpg,What is the brand?,Solimo
38/385680d7.jpg,What is the color?,Others
38/385680d7.jpg,What is the model?,Oppo
38/385680d7.jpg,What type is this?,Case
38/385680d7.jpg,Is it printed?,Yes
38/385680d7.jpg,What is the pattern?,Floral
