image_path,question,answer, answer
5e/5e927c3b.jpg,Is there a headrest?,Yes,
49/49b1b22b.jpg,What is the color?,Others,
11/11270945.jpg,What is it made of?,Steel,
b0/b0262c8b.jpg,What shape is this?,Rectangular,
4e/4e4a345f.jpg,What is the product type?,Grocery,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
03/0392a0cc.jpg,What is the shoe's material?,Synthetic,
cc/ccaac858.jpg,What is the brand name?,Solimo,
37/3755d3af.jpg,What is the product type?,Chair,
3f/3f3fffcc.jpg,What are these?,Drawers,
79/7925c25f.jpg,What is printed on the case?,Girl,
ab/abdc8684.jpg,Is it contemporary?,Yes,
67/67697770.jpg,What is the case's color?,Others,
7e/7ea90be5.jpg,What is the pattern?,Solid,
ee/ee8ee952.jpg,What is the item's color?,Others,
c0/c00f49c1.jpg,What shape is the top?,Square,
cc/cc45626e.jpg,What is the case's color?,Others,
ee/ee955acb.jpg,What is the pattern?,Solid,
77/77e7b87d.jpg,What shape is it?,Round,
49/49b1b22b.jpg,What type of cover is it?,Hard,
04/040074c9.jpg,What is the model name?,Realme,
31/311495bd.jpg,What is the pattern?,Smoke,
ee/ee8ee952.jpg,What is the case's finish?,Hard,
67/67ce0623.jpg,What is the brand?,AmazonBasics,
55/553e16e4.jpg,Is it silver?,Yes,
47/47d32600.jpg,What is the material?,Synthetic,
2f/2f35ccca.jpg,What brand is this?,Solimo,
b0/b06aa183.jpg,What is the product type?,Shoes,
e4/e4ed8135.jpg,What is the design?,Fire,
c1/c1989c58.jpg,What is the color?,Black,
67/6763e5c7.jpg,What is it made of?,Plastic,
ee/ee8ee952.jpg,What is the color?,Others,
88/88b1bc5d.jpg,What kind of table?,Coffee,
ee/ee8ee952.jpg,What is the case's style?,Hard,
ee/ee8ee952.jpg,What type of case is this?,Case,
ee/ee8ee952.jpg,Is it 3D?,Yes,
35/3573718f.jpg,What is the brand?,Ravenna,
46/46aea50f.jpg,What is the brand?,Solimo,
40/409e2a3a.jpg,What kind of print is it?,3D,
16/169872f1.jpg,What is the case finish?,Hard,
2f/2f357c87.jpg,What is the model name?,Lenovo,
8c/8c2be510.jpg,What kind of shoes are these?,Shoes,
2f/2f357c87.jpg,What is the cover's material?,Silicon,
27/2755facc.jpg,What is the brand?,Amazon,
7a/7ace8e83.jpg,What is the color?,White,
49/49b1b22b.jpg,What is the item color?,Others,
a4/a40934e3.jpg,What is the brand name?,EONO,
c5/c5006b6c.jpg,What kind of bulb?,LED,
53/5349a3f0.jpg,What is the phone model?,Oppo,
9e/9eb555dd.jpg,What is the box color?,Black,
29/29a9243f.jpg,What are the materials?,Paper,
4a/4a76cafd.jpg,What is the closure?,Lace-Up,
66/66f48f64.jpg,What is the brand?,Solimo,
46/46e5dd53.jpg,What is the sofa's pattern?,Solid,
40/401c3eee.jpg,What is the closure type?,Slip,
1d/1d2806c9.jpg,What is the pattern?,Solid,
a6/a6d82615.jpg,What type of case is this?,Cover,
bc/bcf28213.jpg,What is the handbag's color?,White,
c8/c831e6a2.jpg,How many boxes are there?,Six,
b2/b29f4a05.jpg,What is the shape's color?,Yellow,
5b/5bdef9a5.jpg,What is the model name?,Zip,
ee/ee8ee952.jpg,What is the case's color?,Others,
2a/2af1ff5b.jpg,What is the closure type?,Lace-Up,
01/018df33a.jpg,What is the phone model?,M21,
d9/d90d4a71.jpg,What brand is this?,365,
93/93dd4af3.jpg,What is the bulb shape?,Pear,
d8/d87e51cf.jpg,What is the item's type?,Case,
9c/9c7dbd37.jpg,What is the product type?,Case,
6f/6f88786b.jpg,What is the color?,Brown,
62/621eff77.jpg,What is the pattern?,Sunshade,
85/85192c70.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is product type?,Case,
d8/d89025e7.jpg,What type is it?,Case,
bc/bcfad5b0.jpg,What type of product is this?,Shoes,
98/980088eb.jpg,What is the rug's color?,Ivory,
36/36cae1bf.jpg,What is the brand?,Solimo,
5d/5df4b452.jpg,What is the brand?,Ravenna,
23/230d83d5.jpg,What is the product type?,Boot,
8a/8a34270a.jpg,What is the model name?,Leather,
9a/9a7607d4.jpg,What fruit is pictured?,Strawberry,
f7/f7d4b819.jpg,What is the brand?,Modern,
ee/ee8ee952.jpg,What is the printed style?,3D,
17/1769c7b6.jpg,What color is it?,Grey,
4d/4d7b2f54.jpg,Is the rug imported?,Yes,
c3/c34ac561.jpg,What is the brand?,Amazon,
fe/fe2a017b.jpg,Is it for casual wear?,Yes,
71/71d982a0.jpg,What is the cover pattern?,Solid,
63/6377ec9b.jpg,What is the brand?,Solimo,
b2/b267f884.jpg,What is the style?,Pattern,
10/109fbbc9.jpg,What kind of art is it?,Wall,
04/0433f15c.jpg,What is the case material?,Silicon,
25/25afd2d4.jpg,What is the case's color?,Multicolor,
9f/9f6f86ac.jpg,What color is this?,Multi-colored,
87/8799071f.jpg,What is the product's color?,Black,
45/458926d5.jpg,Are they organic?,Yes,
14/1443e9ff.jpg,What is the case's brand?,Solimo,
15/157a97db.jpg,What amount of protein?,Two,
46/463a563d.jpg,What is its height?,Fifteen,
4c/4c707c41.jpg,What is the item shape?,Panel,
b1/b17a9a47.jpg,What brand is it?,Solimo,
cd/cdc996f3.jpg,What shape is it?,Hexagon,
bd/bd9653e4.jpg,What is the lens finish?,Polarized,
1b/1b7272ab.jpg,What is the case's brand?,Solimo,
c5/c5e5115a.jpg,Is it padded?,Yes,
d8/d89025e7.jpg,What is the pattern?,Alphabet,
79/79bc2429.jpg,What is the heel type?,Block,
f7/f7b4d54b.jpg,What is the brand?,Symbol,
02/02581940.jpg,What is the brand?,Fusefit,
65/651cf789.jpg,What type of case?,Hard,
75/75dcdf1a.jpg,What is the case type?,Back,
66/66f3a68c.jpg,Is it slim?,Yes,
ee/ee8ee952.jpg,Is it printed?,Yes,
c4/c4a86bd1.jpg,What is the metal color?,Brass,
7b/7b5105f1.jpg,What color is the chair?,Grey,
af/af8acd73.jpg,What kind of bottle is it?,Shaker,
ee/ee8ee952.jpg,What is the brand?,Solimo,
26/26661c12.jpg,Is it wired?,Wireless,
aa/aa17275f.jpg,What color is it?,Black,
e0/e05313de.jpg,What is the pattern?,Stars,
93/938d234d.jpg,What is the wallet's material?,Leather,
ee/ee8ee952.jpg,For what model?,M2,
85/85192c70.jpg,What color is the butterfly?,Blue,
ee/ee8ee952.jpg,What type is this?,Case,
0d/0d845d1c.jpg,What is the case's pattern?,Drops,
c0/c0aa9c9c.jpg,What type of case is it?,Hard,
49/49b1b22b.jpg,What is the brand?,Solimo,
bc/bcbb2d62.jpg,What type of case?,Back,
32/32257cb6.jpg,What is the main material?,Silicon,
73/73fa448c.jpg,What is the brand?,Rivet,
17/17651731.jpg,What is the container's color?,Clear,
f7/f705ebcc.jpg,What is the sofa's brand?,Stone,
60/607218de.jpg,What is the case type?,Crystal,
3f/3fdbb401.jpg,What is the metal color?,Gold,
7c/7cfdb53f.jpg,What kind of print is it?,3D,
ee/ee8ee952.jpg,What is the brand?,Solimo,
d4/d40fd3a6.jpg,What type is it?,Automatic,
9d/9d6df583.jpg,What is the brand?,Strathwood,
cb/cb684835.jpg,What is the product's brand?,Amazon,
ee/ee8ee952.jpg,What is the phone model?,Redmi,
74/74ee1091.jpg,What animal is featured?,Lion,
49/49b1b22b.jpg,What phone is this case for?,Samsung,
f5/f5590ab1.jpg,What is the outer material?,Polyester,
ee/ee8ee952.jpg,What is the product type?,Case,
f2/f2ea3caf.jpg,What type is it?,Office,
80/805eec41.jpg,What is the main color?,Multicolor,
04/04e21e7a.jpg,What is the brand?,Flavia,
2f/2f357c87.jpg,What is the phone model?,Mi,
b6/b64a2d6d.jpg,What is the pattern type?,Plain,
02/022baada.jpg,What is the shoe's style?,Korsika-sport,
5a/5a811b71.jpg,What is the item color?,White,
98/98c4a616.jpg,What color is it?,Grey,
7c/7c079090.jpg,Does this have earloops?,Yes,
7f/7f7c583d.jpg,What is the count?,Fifty-four,
1c/1c8b3f32.jpg,What color is the product?,Black,
44/44949f9b.jpg,What is the brand?,AmazonCommercial,
de/de49bcf5.jpg,What is the fabric?,Synthetic,
c8/c85fb861.jpg,What is the finish?,Matte,
1f/1fbd8713.jpg,What is the shoe brand?,find,
66/66f3a68c.jpg,What is the product type?,Case,
47/47f0c738.jpg,What is the brand?,Solimo,
35/35534fbf.jpg,What shape is this table?,Square,
49/49b1b22b.jpg,What is the case's color?,Multi,
ca/caf70311.jpg,What is the shoe pattern?,Textured,
c1/c11ec07d.jpg,What is the phone color?,White,
85/85192c70.jpg,What brand is this?,Solimo,
04/040074c9.jpg,What is the pattern on the case?,Heart,
dc/dc983a66.jpg,What is the design printed?,Candle,
ee/ee8ee952.jpg,What kind of print?,3D,
b7/b7c5a31c.jpg,What is the brand?,Stone,
4c/4c4dce95.jpg,What is the table's color?,Gold,
fd/fd686a69.jpg,What is the model name?,A4,
46/466ab2cd.jpg,Is it a fashion case?,Yes,
ee/ee8ee952.jpg,What type of case is it?,Hard,
35/35c548bc.jpg,What style is this?,King,
60/604ec969.jpg,What heel type is it?,Flats,
34/3467f77a.jpg,What color are the shoes?,White,
5e/5eddd79e.jpg,Is it waterproof?,Yes,
52/52842822.jpg,What is the case type?,Designer,
66/66f3a68c.jpg,What brand is this?,Solimo,
59/59cf7dd7.jpg,What color is printed?,White,
3d/3dd59df7.jpg,Is this product kosher?,Yes,
d2/d2930949.jpg,What is the main color?,Yellow,
66/66f3a68c.jpg,What is the phone model?,Huawei,
89/89051376.jpg,What is the brand name?,Essentials,
d4/d4f409b2.jpg,What is the brand?,Solimo,
ce/ce32fac8.jpg,What is the primary color?,Red,
8d/8d964956.jpg,What color is the cap?,White,
39/39012cde.jpg,What is it made of?,Wood,
a8/a8d8b4a4.jpg,What is the brand?,Amazon,
f7/f75743f5.jpg,What is the bag style?,Handbag,
e5/e5c51f9b.jpg,What is the product type?,Shoes,
2f/2f357c87.jpg,What brand is this case?,Solimo,
67/6763e5c7.jpg,Is it patterned?,Yes,
8d/8de401fa.jpg,What is the capacity?,700ml,
ee/ee8ee952.jpg,Is it printed?,Yes,
9e/9eb9e336.jpg,What is the art style?,Modern,
49/49b1b22b.jpg,What is the product color?,Others,
87/873bed00.jpg,What color are the boots?,Blue,
2f/2f357c87.jpg,What is the product type?,Case,
c8/c8454684.jpg,What is the shoes' material?,Fabric,
2f/2f357c87.jpg,What is the pattern?,Butterfly,
18/180ff17b.jpg,What is the main color?,White,
cb/cba672d3.jpg,What is the shoe material?,Synthetic,
e2/e23b149a.jpg,What is the outer material?,Pu,
77/77c92a5d.jpg,Is the design 3D?,Yes,
51/51742263.jpg,What is the shoe's color?,Brown,
47/47f0c738.jpg,What is the cover's type?,Hard,
75/7500858e.jpg,What type of product is this?,Case,
08/0812ecd2.jpg,What type of bar is it?,Nut,
85/85192c70.jpg,What is the case material?,Silicon,
4a/4aef47ba.jpg,What is the case color?,Multicolor,
2a/2af5eb88.jpg,What is the model?,X2,
f5/f5b0cfe0.jpg,What is the table style?,Modern,
bb/bb0b2f70.jpg,What is the model name?,Wedge,
ee/eee46dd6.jpg,What is the brand?,Amazon,
e3/e310dfbb.jpg,What is the product type?,Bed,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
63/63a92dab.jpg,What is the item shape?,,
ee/ee8ee952.jpg,What is the item's color?,Others,
49/49b1b22b.jpg,Is it light weight?,Yes,
e6/e6540733.jpg,Is it vegan?,Yes,
34/34142b7c.jpg,What is the chair's color?,Ivory,
af/afc66648.jpg,What is the gloves material?,PU,
49/49b1b22b.jpg,What is it printed?,3D,
3b/3bba1b75.jpg,What is stand made of?,Iron,
3b/3b1ffacc.jpg,What is the product's brand?,AmazonBasics,
31/31237e18.jpg,What is the style?,Adjustable,
a6/a6391159.jpg,What is the base material?,Alloy,
59/598b75ec.jpg,What is the phone model?,Motorola,
99/99da7716.jpg,What is the product's brand?,AmazonBasics,
6e/6ecf6504.jpg,What is the brand name?,PUMA,
2d/2db68960.jpg,What is the item?,Case,
d3/d3dfb68d.jpg,What is the color?,Gray,
ee/ee8ee952.jpg,Is it printed?,Yes,
87/87dfb91d.jpg,What is the phone brand?,Solimo,
b2/b2d90a98.jpg,What is the color?,Others,
6d/6d9d9c39.jpg,What is the brand?,Solimo,
c3/c3f18658.jpg,What is the brand?,Eono,
c6/c6246ace.jpg,What kind of product is this?,Earring,
2f/2f357c87.jpg,What is the product type?,Case,
2f/2f357c87.jpg,What is the brand?,Solimo,
65/65a7429f.jpg,Is it a case?,Yes,
66/66f3a68c.jpg,What type of case is this?,Hard,
8d/8d0e1b0d.jpg,What is the bed color?,Brown,
62/62114bb0.jpg,What is the brand?,Symactive,
f2/f2ccf5d8.jpg,What is the product type?,Bedding,
a5/a5985e17.jpg,What is the brand?,Rivet,
e6/e6ead110.jpg,What brand is this?,Solimo,
ad/ad00ff24.jpg,What is the cover color?,Multicolor,
a8/a8b8b1f4.jpg,What kind of sausage is it?,Chicken,
ee/ee8ee952.jpg,What is the phone model?,Redmi,
2f/2f357c87.jpg,What is the item type?,Case,
e4/e4511f0e.jpg,What is the brand?,AmazonBasics,
a6/a624db16.jpg,What is the phone's color?,Multi,
f7/f7b59df6.jpg,What material is used?,Ceramic,
d8/d89025e7.jpg,What type of design is printed?,Love,
ee/ee8ee952.jpg,Is the cover printed?,Yes,
68/684df00f.jpg,What is the shoe material?,Leather,
53/537929de.jpg,Is it a hard case?,No,
36/36263041.jpg,What color are the straps?,Yellow,
7b/7bb26cca.jpg,What brand is this?,365,
49/49b1b22b.jpg,What is the product's brand?,Solimo,
93/9337f448.jpg,Is the frame square?,Yes,
6c/6ce19450.jpg,What is the shoe style?,Running,
2b/2bb2968f.jpg,What is the brand?,Solimo,
a0/a0dab2a5.jpg,Is it for indoor?,Yes,
5f/5fde6625.jpg,What is the style?,Ballet,
