image_path,question,answer, answer
2a/2af5eb88.jpg,What is the phone model?,X2,
04/048359e4.jpg,Is it Slim?,Yes,
0d/0d178960.jpg,What brand is this?,WholeFoods,
e7/e7787204.jpg,What is the brand?,Solimo,
c8/c886ee14.jpg,What color are these sandals?,Black,
ee/ee8ee952.jpg,What is the brand?,Solimo,
b7/b7793ea5.jpg,What is the box color?,Brown,
b7/b700dc43.jpg,What is the toe shape?,Cap,
8d/8de667f2.jpg,Are there rainbows?,Yes,
6f/6fcaa69c.jpg,What is the product type?,Case,
33/33f9e214.jpg,What is the style?,Sneakers,
a0/a0804d49.jpg,What's on the case?,Flowers,
42/42e5c16e.jpg,What color is this speaker?,Blue,
79/7934db06.jpg,What is the item type?,Case,
ee/ee8ee952.jpg,What is the product color?,Others,
66/66f3a68c.jpg,What brand is it?,Solimo,
47/47f0c738.jpg,What is the color?,Multi-colored,
20/2050f1ed.jpg,What is it made of?,Salsa,
83/8387ffa3.jpg,What is the upper material?,Suede,
13/13af2524.jpg,What is the product type?,Necklace,
ef/ef04d93e.jpg,What is the shoe brand?,Klepe,
53/53538bf3.jpg,Is it patterned?,Yes,
29/2960f5db.jpg,What wattage is the bulb?,100,
f9/f9b0addb.jpg,What is the brand?,206,
fe/febae916.jpg,What is the heel type?,Flats,
42/42df5fa4.jpg,What is the item type?,Grocery,
f1/f108933c.jpg,Are there metallic eyelets?,Yes,
2f/2f357c87.jpg,What is it made of?,Silicone,
38/386c920f.jpg,What is the brand?,Movian,
82/822667bb.jpg,What brand is it?,Solimo,
5d/5d92fb16.jpg,What is the item type?,Supplement,
ef/ef739cba.jpg,What is it for?,Nokia,
ee/ee8ee952.jpg,What is the design?,Brick,
85/85192c70.jpg,What is the design on the back?,Butterfly,
73/733f7528.jpg,Is it printed?,Yes,
36/36cae1bf.jpg,What is the brand?,Solimo,
aa/aa0d4fbe.jpg,What is the cover's material?,Plastic,
33/33d1a411.jpg,What is the model name?,#_Darling01W3,
ee/ee8ee952.jpg,What is the color?,Others,
b2/b266f396.jpg,What is the item shape?,Heart,
9c/9cb6e634.jpg,What is the case's material?,Silicon,
c7/c70f66e0.jpg,What is the case type?,Hard,
66/66f3a68c.jpg,What is the design?,Marble,
7e/7ecf343f.jpg,What food is it?,Milk,
98/9812b571.jpg,What color are the boots?,Red,
85/85192c70.jpg,Are sides transparent?,Yes,
3e/3ef253a6.jpg,What is the product's brand?,Stone,
74/74b898d9.jpg,What kind of product is this?,Chair,
9f/9f6f86ac.jpg,What is the phone case color?,Multicolored,
ee/ee8ee952.jpg,What is the product's color?,Others,
9c/9cefb4ff.jpg,How many lids are included?,Three,
0c/0c4ae494.jpg,What is the brand?,AmazonBasics,
87/87c1676d.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What is the case's color?,Others,
ee/ee8ee952.jpg,What type is this?,Case,
ee/ee8ee952.jpg,What is the phone brand?,Xiaomi,
fa/fa606e42.jpg,What is the cover style?,Hard,
