image_path,question,answer,generated_answer
a1/a1f37cc0.jpg,What is the pattern?,Comforter,dance
77/772f6f1f.jpg,What brand is this?,206,apple
1d/1d3c1567.jpg,What is the brand?,Solimo,tangram
fb/fb57539f.jpg,Is it 3D?,Yes,no
e0/e030ba61.jpg,What is the product type?,Grocery,clothing
49/49b1b22b.jpg,What type of case is it?,Hard,suit
1f/1f243ec0.jpg,What kind of shoe is it?,Running,sneaker
50/50ce84a2.jpg,What type of wash?,Handwash,hand
49/49b1b22b.jpg,What is the product's brand?,Solimo,none
0f/0fc9d6c7.jpg,What is the product type?,Case,cell phone
34/3463e6ee.jpg,What is the rug made of?,Leather,cotton
d0/d07053a4.jpg,What is the brand?,Solimo,apple
2f/2f357c87.jpg,What is the design?,Designer,phone
5a/5ad0321d.jpg,What shape is the rug?,Rectangular,rectangle
9f/9f6f86ac.jpg,What is the print?,Alphabet,text
13/13a5c102.jpg,What is the pattern?,Alone,spiral
83/83b488c1.jpg,What is the brand?,Solimo,pantene
d1/d12f8cfe.jpg,What is the product color?,Pink,red
ee/ee8ee952.jpg,Is it 3D printed?,Yes,no
d8/d89025e7.jpg,Is the surface flat?,No,no
9a/9ad9be51.jpg,What is the shoe's style?,Sneakers,casual
fb/fb791403.jpg,What form does it come in?,Lozenge,puzzle
96/9650257a.jpg,Is this an accessory?,Yes,no
2f/2f357c87.jpg,What is the product style?,Pattern,phone case
d2/d2e3504e.jpg,What color is it?,Adobe,blue
78/7862c7e2.jpg,What is it made of?,Plastic,wood
28/28d5f1fa.jpg,What is the seat height?,Nineteen,"30"""
84/841fb07d.jpg,What is the lifestyle?,Business,comfortable
2f/2f925f9c.jpg,What brand is it?,Solimo,samsung
ee/ee8ee952.jpg,For which phone is it?,Huawei,iphone
56/56006322.jpg,What are the beads made of?,PVC,silver
b1/b18119f1.jpg,What is the model name?,Security,samsung
3a/3a137134.jpg,What is the product's brand?,Happy,unknown
b5/b56059e4.jpg,What style is this chair?,Traditional,modern
0f/0fcca014.jpg,What is the brand?,Solimo,none
bc/bca708d2.jpg,Is it cooked?,Fully,no
85/85192c70.jpg,What type of case is it?,Back,cardboard
59/59cd4aea.jpg,What is the style of stew?,Moroccan,cajun
76/767e428b.jpg,What is the product type?,Shoes,tablet
92/92d3bf45.jpg,What is the outer material?,Leather,plastic
8a/8a080ea8.jpg,What is the case's color?,Multi,yellow
e5/e53a746d.jpg,What color is the bottle?,White,gray
00/0063ecfe.jpg,What is the curtain style?,Blackout,modern
66/66f3a68c.jpg,For which model?,Honor,iphone
49/49b1b22b.jpg,What is the case's color?,Others,white
e7/e716452d.jpg,What color is the mount?,White,black
51/511dfbce.jpg,What is the brand?,find,puma
66/66f3a68c.jpg,What is the print type?,3D,illustration
3e/3e973eca.jpg,What is the brand?,Solimo,none
c2/c2809e46.jpg,What is the hat's color?,Beige,beige
63/63e690a1.jpg,What is it printed?,3D,sunglasses
ab/abe6e061.jpg,What is the brand?,Symbol,apple
5a/5a666bb9.jpg,What is the product brand?,Solimo,none
d6/d6b64c5e.jpg,What is the brand?,AmazonCommercial,apple
30/30aeb21b.jpg,Sourced from which farmers?,Women,women
74/743b0ea8.jpg,What is the brand?,AmazonBasics,envelopes
2f/2f357c87.jpg,What is the phone model?,Lenovo,iphone
9f/9f6f86ac.jpg,What kind of case is it?,Hard,phone
86/86f4b057.jpg,What is the primary color?,Brown,brown
6c/6ca74e2f.jpg,What is the frame's height?,Nine,1.5
2f/2f357c87.jpg,What is the case color?,Multicolor,blue
49/49b1b22b.jpg,What kind of printing?," ""3D""",silk
95/9574ab4f.jpg,What ingredient is listed?,Coconutmilk,soy
d9/d90b4914.jpg,What shape is the base?,Cylinder,round
14/14cee98d.jpg,Is it a hard case?,Yes,no
49/49b1b22b.jpg,What is the brand?,Solimo,apple
b3/b3db853f.jpg,Is it Slim?,Yes,no
87/87dfb91d.jpg,What is the product color?,Multi-colored,brown
a0/a048ac8e.jpg,What is the frame material?,Wood,wood
58/5882a6c2.jpg,What is the brand?,Solimo,apple
49/49b1b22b.jpg,What is the case style?,Hard,puzzle
f2/f29be0aa.jpg,What is the product type?,Envelope,paper
16/16f28c09.jpg,What is the model's name?,Mason,dodge
ee/ee8ee952.jpg,Is it printed?,Yes,yes
49/49b1b22b.jpg,Is it slim?,Yes,no
42/42614256.jpg,What material is it?,Metal,polyester
72/720c86e2.jpg,What is it made of?,Aluminum,glass
d5/d593fa1b.jpg,What is the phone case color?,Multicolor,black
66/66f3a68c.jpg,What is the case type?,Hard,iphone
0e/0e7be8b5.jpg,What is the item shape?,Oval,rectangle
77/77ced3ed.jpg,What is the product type? , Handbag,tote
5f/5f949e07.jpg,What is the item color?,Beige,red
43/434cadb1.jpg,Is it for Coolpad?,Yes,no
55/55280344.jpg,Is it 3D printed?,Yes,no
2d/2ddfb265.jpg,What is the material?,Silicon,plastic
7b/7b3c9f07.jpg,What is the style?,Mixie,modern
50/506c6743.jpg,What is the ottoman's pattern?,Plaid,geometric
1e/1ee148d9.jpg,What style is it?,Industrial,modern
ee/ee8ee952.jpg,What is the model?,Nokia,iphone 6s
79/793a1ccf.jpg,What is the product type?,Handbag,dishwasher
b7/b79b98fc.jpg,What is the product's brand?,Solimo,none
f6/f6a6000f.jpg,What is the product color?,Others,blue
ad/ad53b812.jpg,What is the heel type?,Kitten,flat
49/49b1b22b.jpg,What is the brand?,Solimo,apple
66/66f3a68c.jpg,What type of product is this?,Case,phone
68/6823e4e2.jpg,What is the product material?,Silicon,polyester
6c/6ca7d3e1.jpg,What is the brand?,Amazon,none
ee/ee8ee952.jpg,What is the product brand?,Solimo,apple
df/dfb18b0b.jpg,What shape is it?,Rectangular,square
64/64a1e1c4.jpg,What material is it?,Metal,cotton
25/2508cf33.jpg,Is it for adults?,Adult,yes
ee/ee8ee952.jpg,Is it patterned?,Yes,no
64/648852d5.jpg,Does the case have print?,Yes,no
72/72469c3f.jpg,What is the design printed?,Mustache,pineapple
ff/ff13dcc9.jpg,What color is it?,Black,blue
21/21ba04f9.jpg,What is the brand?,Happy,unknown
42/42f59719.jpg,What is it?,Microphone,tobacco
66/66f3a68c.jpg,What type of case?,Hard,phone
0e/0e8178b3.jpg,What is the case's pattern?,Chevron,solid
ee/ee8ee952.jpg,What is the brand?,Solimo,apple
54/540c927d.jpg,What is the brand?,Eono,adidas
fb/fb04943b.jpg,What kind of chips?,Pita,haci
66/66f3a68c.jpg,What is the case's color?,Others,white
95/957ce2a7.jpg,What material is it?,Steel,plastic
4d/4d1b283f.jpg,What is the brand?,Amazon,apple
85/85c752c0.jpg,What is its type?,Case,festival
37/37715cf2.jpg,What is the shoe's style?,Casual,casual
77/77f75efb.jpg,What is the cover style?,Designer,white
e1/e1fe3898.jpg,What is it made of?,Hardback,polyester
ee/ee8ee952.jpg,What is the product type?,Case,cell phone
20/20533b83.jpg,What company is this?,Amazon,nike
d5/d50fdda9.jpg,Is cinnamon included?,Yes,no
b5/b540941c.jpg,What's the cover's design?,Mash,abstract
1d/1df07b99.jpg,What is the material?,Glass,glass
20/20da5515.jpg,What is the brand?,Solimo,apple
07/07fbc42d.jpg,What is the case's pattern?,Puppy,solid
29/29f1f761.jpg,What is the case's material?,Plastic,plastic
38/38a4f1a1.jpg,What is the number printed?,Three,1
28/28c9d171.jpg,What is the case's color?,Others,gray
06/06e4e75a.jpg,What is the case's material?,Plastic,plastic
3f/3f810730.jpg,What is the heel height?,Flat,3.5
d8/d87e51cf.jpg,What is the main material?,Plastic,plastic
fe/fe1c02ea.jpg,What is the brand?,Stone,safavieh
ee/ee8ee952.jpg,What is the item color?,Others,white
49/49b1b22b.jpg,What is it printed?,3D,siesta
10/104bb299.jpg,What is the brand?,Solimo,columbia
72/72e52a1e.jpg,What is the brand?,Stone,none
c2/c2f5c4a5.jpg,What type of case is it?,Hard,folded
51/51efb69a.jpg,What is the weight in grams?,50,1
2c/2c3d05c5.jpg,What kind of art is it?,Wall,abstract
ee/ee8ee952.jpg,What is the color?,Others,white
66/66f3a68c.jpg,What is the cover print?,Paint,iphone
74/74473c08.jpg,What is the primary case style?,Pattern,casual
85/85192c70.jpg,What type of case is it?,Designer,cardboard
93/936dc5e0.jpg,Is it washable?,Yes,no
41/41451ef7.jpg,Is it artificial?,No,yes
80/80895405.jpg,What is the product's type?,Grocery,bread
bb/bb754de6.jpg,What is the cover color?,Clear,brown
6f/6fa19cec.jpg,What shape is this case?,Rectangle,rectangle
da/da455922.jpg,Is it for indoor use?,Yes,yes
42/426a357b.jpg,What is the sofa's height?,26.8,30.5
de/dea63308.jpg,Are the stones clear?,Yes,no
fb/fb0a3d26.jpg,What kind of shoes are these?,Shoes,flip flops
23/23296528.jpg,What is the outer material?,Synthetic,plastic
2a/2aec22f8.jpg,What is the model's name?,Itel,iphone
5e/5e5a6e60.jpg,What is the quantity?,Two,1
17/177f4cb6.jpg,Is it patterned?,Yes,no
d2/d24ac17c.jpg,What is the phone case brand?,Solimo,apple
6d/6dfd29b5.jpg,What is the material?,Leather,plastic
40/4002cbe8.jpg,Is it for gaming?,Yes,no
4d/4d2b615b.jpg,What is the color?,White,brown
ee/ee8ee952.jpg,What type of cover?,Back,case
bb/bbb54642.jpg,What heel type?,Flats,ankle
51/514ac672.jpg,What is the brand?,Ravenna,none
fe/fe3bbe6b.jpg,What brand is this?,AmazonBasics,camping world
70/706a3270.jpg,What is the product type?,Case,clothing
b4/b4522a31.jpg,What is the juice color?,Red,green
49/49b1b22b.jpg,What is the product type?,Case,television
1d/1db8cffc.jpg,What is the metal?,Gold,gold
15/15405883.jpg,Is it washable?,Yes,no
82/82b956d0.jpg,Is it trade cocoa?,Fair,no
d3/d3885e08.jpg,What is the material of this case?,Plastic,plastic
2f/2f357c87.jpg,What is the case color?,Multicolor,blue
08/08ab666a.jpg,What is the model number?,SW-WC03,a128
75/7555c6b1.jpg,What color is the chair?,Beige,brown
a8/a8072285.jpg,What is the breed?,Small,breed
b5/b55eebf3.jpg,What is the style?,INNIS-S-10,flip flop
d1/d1e1346d.jpg,What type of print?,3D,dance
88/8840bca8.jpg,Is it zippered?,No,no
28/28215d4c.jpg,What is the brand?,Stone,samsung
c2/c287d62b.jpg,What kind of shoes are these?,Formal,flip flops
a4/a48da38f.jpg,What is the brand?,AmazonBasics,dunlop
a0/a0ff7165.jpg,Does the product feature shapes?,Yes,yes
e9/e9a2f6b7.jpg,What is the lotion's size?,6,300ml
58/58246d1c.jpg,What kind of product is this?,Medication,t-shirt
87/87dfb91d.jpg,What is the product type?,Case,weight
2f/2f357c87.jpg,What is the case's brand?,Solimo,apple
75/75c17b5c.jpg,What is the product type?,Shoes,shoe
93/936dc5e0.jpg,What is the brand?,Pinzon,unknown
2f/2f357c87.jpg,What is the product type?,Case,phone
0c/0ce137d2.jpg,What color is it?,Bronze,blue
66/66f3a68c.jpg,What is the pattern?,Flower,iphone
32/32d308a8.jpg,What is the product type?,HOME,shirt
2e/2e17e7e1.jpg,What color is it?,Black,blue
48/48cadb33.jpg,What is the pattern?,Love,geometric
a8/a80d8641.jpg,What is the product type?,Case,shoe
25/25fd8c8e.jpg,What kind of shoe is this?,Sport,vans
36/36cae1bf.jpg,What is the brand?,Solimo,dunlop
2f/2f357c87.jpg,What is the case's brand?,Solimo,apple
48/481c552b.jpg,What is the heel shape?,Kitten,square
49/49b1b22b.jpg,Is it 3D printed?,Yes,no
62/62928593.jpg,What is the product type?,GROCERY,clothing
26/26710113.jpg,What is the brand?,Eono,apple
67/675ee533.jpg,What is it made of?,Silicon,plastic
66/66f3a68c.jpg,What is the product's brand?,Solimo,apple
f0/f0755779.jpg,Is the case flexible?,Yes,yes
34/34eae336.jpg,What color is shown?,Beige,gray
75/758bdc54.jpg,Is this a hard case?,Yes,no
