image_path,question,answer
c2/c2ff3c89.jpg,What is the product brand?,365
61/61a13ab8.jpg,What is the cover's material? ,Plastic
f0/f0a4c6a2.jpg,Are these kernels roasted?,Roasted
ee/ee8ee952.jpg,What is the main color?,Others
ea/ea61e676.jpg,What type of product is this?,Luggage
2f/2f357c87.jpg,What is the case's brand?,Solimo
53/53a33d6e.jpg,What is the product type?,Case
d2/d22aa51e.jpg,What type of case?,Hard
d8/d89025e7.jpg,What is the case material?,Plastic
66/66f3a68c.jpg,What kind of case is this?,Back
9e/9efff67f.jpg,What is the product type?,Cup
99/99960dd9.jpg,What count is this?,12
f6/f60bf8bd.jpg,What color is the sleeve?,White
a1/a1e27ec2.jpg,Does the case have floral pattern?,Yes
80/80007b15.jpg,What shape is it?,Round
2f/2f357c87.jpg,What is the case's pattern?,Printed
87/879a2b07.jpg,What is the shoe brand?,Amazon
46/46b4193b.jpg,Is it for adults?,No
b0/b07b0008.jpg,What is it made of?,Plastic
66/66f3a68c.jpg,What is the product color?,Others
0a/0a3cf249.jpg,What is the material?,Plastic
2f/2f357c87.jpg,What is the product type?,Case
0a/0a3cf249.jpg,What is the brand?,Solimo
50/5040f069.jpg,What shape are batteries?,Round
d0/d0847cae.jpg,What is the product type?,Case
f4/f40dac41.jpg,What is the color?,Others
ee/ee8ee952.jpg,What type of case is it?,Hard
ee/ee8ee952.jpg,What is the phone model?,Samsung
66/66f3a68c.jpg,What is the product type?,Case
2f/2f357c87.jpg,What brand is it?,Solimo
11/1166b361.jpg,What is it made of?,Leather
33/336a1542.jpg,What is the brand?,find.
bb/bb6b9edb.jpg,What is the rug's brand?,Rivet
7d/7d8b377b.jpg,What is the brand?,AmazonBasics
e7/e74d4a73.jpg,What type of flour is it?,Gram
9f/9f6f86ac.jpg,What is the color?,Multi-colored
b4/b4552350.jpg,Is the rug rectangular?,Yes
ac/acded426.jpg,What is the brand name?,Solimo
ba/baf0b7e8.jpg,What is it resistant to?,Slip
50/5074399c.jpg,What color is it?,Silver
bf/bfb96942.jpg,What is the case's color?,Multi
ee/ee8ee952.jpg,What is the brand?,Solimo
e8/e83dd23a.jpg,What is the pattern?,Sparkle
