image_path,question,answer, answer
30/30fc9e94.jpg,What is the brand?,AmazonBasics,
30/30fc9e94.jpg,What color is it?,Green,
30/30fc9e94.jpg,What type is it?,Kettlebell,
30/30fc9e94.jpg,What is the weight?,25,
30/30fc9e94.jpg,What is the material?,Vinyl,
30/30fc9e94.jpg,What is the handle color?,Black,
aa/aa457a8f.jpg,What is the brand?,AmazonBasics,
aa/aa457a8f.jpg,What is the kettlebell's color?,Green,
aa/aa457a8f.jpg,What kind of goods is this?,Sporting,
aa/aa457a8f.jpg,What is it made of?,Iron,
aa/aa457a8f.jpg,What is the weight (lbs.)?,25,
f0/f0c3fcc1.jpg,What is the kettlebell's color?,Green,
f0/f0c3fcc1.jpg,What is the brand?,AmazonBasics,
f0/f0c3fcc1.jpg,What kind of product is this?,Kettlebell,
f0/f0c3fcc1.jpg,What is the handle's color?,Black,
f0/f0c3fcc1.jpg,What shape is it?,Round,
f0/f0c3fcc1.jpg,What is the weight?,25lb,
49/49269140.jpg,What is the brand?,AmazonBasics,
49/49269140.jpg,What color is it?,Green,
49/49269140.jpg,What type is it?,Kettlebell,
49/49269140.jpg,What is the handle color?,Black,
49/49269140.jpg,Is it new?,Renewed,
49/49269140.jpg,What is the weight?,Twenty-five,
65/65ffb580.jpg,What is the kettlebell's brand?,AmazonBasics,
65/65ffb580.jpg,What type of product is this?,Sporting_goods,
65/65ffb580.jpg,What is the kettlebell color?,Green,
65/65ffb580.jpg,What is the handle color?,Black,
65/65ffb580.jpg,What is the weight in pounds?,25,
87/87b86ace.jpg,What is the product's brand?,AmazonBasics,
87/87b86ace.jpg,What is the product type?,SPORTING_GOODS,
87/87b86ace.jpg,What is the handle color?,Black,
87/87b86ace.jpg,What is the kettlebell color?,Green,
87/87b86ace.jpg,Is this new or renewed?,Renewed,
c1/c1eb8ad5.jpg,What is the shoe's color?,Tan,
c1/c1eb8ad5.jpg,What is the product's brand?,Symbol,
c1/c1eb8ad5.jpg,What is the shoe style?,Formal,
c1/c1eb8ad5.jpg,What is the material?,Synthetic,
c1/c1eb8ad5.jpg,What is the pattern?,Solid,
c1/c1eb8ad5.jpg,What kind of toe?,Closed,
c1/c1eb8ad5.jpg,What type of shoes?,Shoes,
c1/c1eb8ad5.jpg,What is the closure?,Slip,
a7/a72e6645.jpg,What is the shoe style?,Slip,
a7/a72e6645.jpg,What is the shoe color?,Tan,
a7/a72e6645.jpg,What is the outer material?,Synthetic,
a7/a72e6645.jpg,Is there a pattern?,Solid,
a7/a72e6645.jpg,What kind of toe?,Closed,
a4/a43b16a5.jpg,What is the shoe style?,Slip,
a4/a43b16a5.jpg,What is the shoe material?,Synthetic,
a4/a43b16a5.jpg,What is the pattern?,Solid,
a4/a43b16a5.jpg,What type of toe?,Closed,
a4/a43b16a5.jpg,What is the brand?,Symbol,
a4/a43b16a5.jpg,What is the product type?,Shoes,
a4/a43b16a5.jpg,What is the shoe color?,Tan,
c3/c3bb4195.jpg,What is the shoe style?,Slip-on,
c3/c3bb4195.jpg,What is the shoe color?,Tan,
c3/c3bb4195.jpg,What is the pattern?,Solid,
c3/c3bb4195.jpg,What is the product type?,Shoes,
c3/c3bb4195.jpg,What is the outer material?,Synthetic,
c3/c3bb4195.jpg,What is the shoe brand?,Symbol,
0b/0b8abfd8.jpg,What is the shoe's material?,Synthetic,
0b/0b8abfd8.jpg,What is the brand?,Symbol,
0b/0b8abfd8.jpg,What is the main color?,Brown,
0b/0b8abfd8.jpg,What is the product type?,Shoes,
0b/0b8abfd8.jpg,What is the style?,Slip-on,
9a/9af728c5.jpg,What is the shoe style?,Slip,
9a/9af728c5.jpg,What is the product type?,Shoes,
9a/9af728c5.jpg,What is the pattern?,Solid,
9a/9af728c5.jpg,What is the brand?,Amazon,
9a/9af728c5.jpg,What is the material?,Synthetic,
72/72849d6f.jpg,What is the brand?,Solimo,
72/72849d6f.jpg,Is it hard case?,Yes,
72/72849d6f.jpg,What is the cover color?,Others,
72/72849d6f.jpg,What is the material?,Canvas,
72/72849d6f.jpg,What is the product type?,Case,
72/72849d6f.jpg,What is the design?,Paint,
72/72849d6f.jpg,What type of printing?,3D,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the color?,Others,
ee/ee8ee952.jpg,What is the material?,Canvas,
ee/ee8ee952.jpg,What kind of case is it?,Hard,
ee/ee8ee952.jpg,What is the model name?,Micromax,
ee/ee8ee952.jpg,What is the product type?,Case,
49/49b1b22b.jpg,What is the brand?,Solimo,
49/49b1b22b.jpg,What is the material?,Canvas,
49/49b1b22b.jpg,What is the color?,Others,
49/49b1b22b.jpg,What is the product type?,Case,
49/49b1b22b.jpg,What is the print?,3D,
66/66f3a68c.jpg,What brand is this?,Solimo,
66/66f3a68c.jpg,What is the cover design?,Paint,
66/66f3a68c.jpg,What is the color?,Others,
66/66f3a68c.jpg,What type of case is it?,Hard,
66/66f3a68c.jpg,What is the material?,Canvas,
66/66f3a68c.jpg,Is there a warranty?,No,
66/66f3a68c.jpg,Is it 3D Printed?,Yes,
66/66f3a68c.jpg,What type of product is it?,Case,
a8/a8d9a0dc.jpg,What brand is this?,Solimo,
a8/a8d9a0dc.jpg,What type of case is it?,Hard,
a8/a8d9a0dc.jpg,What is the color?,Multi,
a8/a8d9a0dc.jpg,Is it patterned?,Yes,
a8/a8d9a0dc.jpg,What is it made of?,Canvas,
18/18741f91.jpg,What is the brand?,AmazonBasics,
18/18741f91.jpg,What is the color?,Blue,
18/18741f91.jpg,What is the pattern?,Chevron,
18/18741f91.jpg,What type of product is this?,Home,
18/18741f91.jpg,What material is it made of?,Microfiber,
3e/3e5fd4e4.jpg,What is the brand?,AmazonBasics,
3e/3e5fd4e4.jpg,What is the color?,Blue,
3e/3e5fd4e4.jpg,What is the pattern?,Chevron,
3e/3e5fd4e4.jpg,What is the item type?,Pillowcases,
3e/3e5fd4e4.jpg,What is the quantity?,Two,
0e/0ecb7884.jpg,What is the brand?,AmazonBasics,
0e/0ecb7884.jpg,What is the color?,Blue,
0e/0ecb7884.jpg,What is the pattern?,Chevron,
0e/0ecb7884.jpg,What is the product type?,Bath,
0e/0ecb7884.jpg,What is the main material?,Microfiber,
2d/2db55871.jpg,What is the product brand?,AmazonBasics,
2d/2db55871.jpg,What is the product color?,Blue,
2d/2db55871.jpg,What is the pattern?,Chevron,
2d/2db55871.jpg,What is the product type?,Pillowcases,
2d/2db55871.jpg,What is the pack quantity?,Two,
c0/c05455b3.jpg,What is the brand?,AmazonBasics,
c0/c05455b3.jpg,What is the safe's material?,Steel,
c0/c05455b3.jpg,What is the safe's color?,Gray,
c0/c05455b3.jpg,What type of product is this?,Electronics,
c0/c05455b3.jpg,What is the door shape?,Rectangular,
34/34125ee4.jpg,What is the product's material?,Steel,
