image_path,question,answer,generated_answer
a1/a1f37cc0.jpg,What is the pattern?,Comforter,solid
77/772f6f1f.jpg,What brand is this?,206,amazon
1d/1d3c1567.jpg,What is the brand?,Solimo,solimo
fb/fb57539f.jpg,Is it 3D?,Yes,yes
e0/e030ba61.jpg,What is the product type?,Grocery,shoes
49/49b1b22b.jpg,What type of case is it?,Hard,hard
1f/1f243ec0.jpg,What kind of shoe is it?,Running,sandal
50/50ce84a2.jpg,What type of wash?,Handwash,hand
49/49b1b22b.jpg,What is the product's brand?,Solimo,365
0f/0fc9d6c7.jpg,What is the product type?,Case,case
34/3463e6ee.jpg,What is the rug made of?,Leather,wool
d0/d07053a4.jpg,What is the brand?,Solimo,solimo
2f/2f357c87.jpg,What is the design?,Designer,printed
5a/5ad0321d.jpg,What shape is the rug?,Rectangular,rectangular
9f/9f6f86ac.jpg,What is the print?,Alphabet,3d
13/13a5c102.jpg,What is the pattern?,Alone,floral
83/83b488c1.jpg,What is the brand?,Solimo,solimo
d1/d12f8cfe.jpg,What is the product color?,Pink,pink
ee/ee8ee952.jpg,Is it 3D printed?,Yes,yes
d8/d89025e7.jpg,Is the surface flat?,No,no
9a/9ad9be51.jpg,What is the shoe's style?,Sneakers,sneakers
fb/fb791403.jpg,What form does it come in?,Lozenge,tablets
96/9650257a.jpg,Is this an accessory?,Yes,yes
2f/2f357c87.jpg,What is the product style?,Pattern,professional
d2/d2e3504e.jpg,What color is it?,Adobe,brown
78/7862c7e2.jpg,What is it made of?,Plastic,plastic
28/28d5f1fa.jpg,What is the seat height?,Nineteen,22
84/841fb07d.jpg,What is the lifestyle?,Business,casual
2f/2f925f9c.jpg,What brand is it?,Solimo,amazonbasics
ee/ee8ee952.jpg,For which phone is it?,Huawei,samsung
56/56006322.jpg,What are the beads made of?,PVC,metal
b1/b18119f1.jpg,What is the model name?,Security,sol-hd-10
3a/3a137134.jpg,What is the product's brand?,Happy,365
b5/b56059e4.jpg,What style is this chair?,Traditional,modern
0f/0fcca014.jpg,What is the brand?,Solimo,solimo
bc/bca708d2.jpg,Is it cooked?,Fully,yes
85/85192c70.jpg,What type of case is it?,Back,phone
59/59cd4aea.jpg,What is the style of stew?,Moroccan,spicy
76/767e428b.jpg,What is the product type?,Shoes,grocery
92/92d3bf45.jpg,What is the outer material?,Leather,leather
8a/8a080ea8.jpg,What is the case's color?,Multi,multicolor
e5/e53a746d.jpg,What color is the bottle?,White,white
00/0063ecfe.jpg,What is the curtain style?,Blackout,modern
66/66f3a68c.jpg,For which model?,Honor,samsung
49/49b1b22b.jpg,What is the case's color?,Others,multicolor
e7/e716452d.jpg,What color is the mount?,White,black
51/511dfbce.jpg,What is the brand?,find,find
66/66f3a68c.jpg,What is the print type?,3D,3d
3e/3e973eca.jpg,What is the brand?,Solimo,flavia
c2/c2809e46.jpg,What is the hat's color?,Beige,white
63/63e690a1.jpg,What is it printed?,3D,3d
ab/abe6e061.jpg,What is the brand?,Symbol,find
5a/5a666bb9.jpg,What is the product brand?,Solimo,solimo
d6/d6b64c5e.jpg,What is the brand?,AmazonCommercial,amazonbasics
30/30aeb21b.jpg,Sourced from which farmers?,Women,women
74/743b0ea8.jpg,What is the brand?,AmazonBasics,amazonbasics
2f/2f357c87.jpg,What is the phone model?,Lenovo,iphone
9f/9f6f86ac.jpg,What kind of case is it?,Hard,hard
86/86f4b057.jpg,What is the primary color?,Brown,beige
6c/6ca74e2f.jpg,What is the frame's height?,Nine,24
2f/2f357c87.jpg,What is the case color?,Multicolor,multicolor
49/49b1b22b.jpg,What kind of printing?," ""3D""",3d
95/9574ab4f.jpg,What ingredient is listed?,Coconutmilk,soy
d9/d90b4914.jpg,What shape is the base?,Cylinder,drum
14/14cee98d.jpg,Is it a hard case?,Yes,yes
49/49b1b22b.jpg,What is the brand?,Solimo,365
b3/b3db853f.jpg,Is it Slim?,Yes,yes
87/87dfb91d.jpg,What is the product color?,Multi-colored,white
a0/a048ac8e.jpg,What is the frame material?,Wood,wood
58/5882a6c2.jpg,What is the brand?,Solimo,solimo
49/49b1b22b.jpg,What is the case style?,Hard,professional
f2/f29be0aa.jpg,What is the product type?,Envelope,office
16/16f28c09.jpg,What is the model's name?,Mason,suede
ee/ee8ee952.jpg,Is it printed?,Yes,yes
49/49b1b22b.jpg,Is it slim?,Yes,yes
42/42614256.jpg,What material is it?,Metal,wood
72/720c86e2.jpg,What is it made of?,Aluminum,wood
d5/d593fa1b.jpg,What is the phone case color?,Multicolor,multicolor
66/66f3a68c.jpg,What is the case type?,Hard,hard
0e/0e7be8b5.jpg,What is the item shape?,Oval,rectangular
77/77ced3ed.jpg,What is the product type? , Handbag,handbag
5f/5f949e07.jpg,What is the item color?,Beige,natural
43/434cadb1.jpg,Is it for Coolpad?,Yes,yes
55/55280344.jpg,Is it 3D printed?,Yes,yes
2d/2ddfb265.jpg,What is the material?,Silicon,silicon
7b/7b3c9f07.jpg,What is the style?,Mixie,handbag
50/506c6743.jpg,What is the ottoman's pattern?,Plaid,geometric
1e/1ee148d9.jpg,What style is it?,Industrial,modern
ee/ee8ee952.jpg,What is the model?,Nokia,m31
79/793a1ccf.jpg,What is the product type?,Handbag,handbag
b7/b79b98fc.jpg,What is the product's brand?,Solimo,amazonbasics
f6/f6a6000f.jpg,What is the product color?,Others,others
ad/ad53b812.jpg,What is the heel type?,Kitten,flats
49/49b1b22b.jpg,What is the brand?,Solimo,365
66/66f3a68c.jpg,What type of product is this?,Case,case
68/6823e4e2.jpg,What is the product material?,Silicon,silicon
6c/6ca7d3e1.jpg,What is the brand?,Amazon,amazon
ee/ee8ee952.jpg,What is the product brand?,Solimo,solimo
df/dfb18b0b.jpg,What shape is it?,Rectangular,rectangular
64/64a1e1c4.jpg,What material is it?,Metal,metal
25/2508cf33.jpg,Is it for adults?,Adult,yes
ee/ee8ee952.jpg,Is it patterned?,Yes,yes
64/648852d5.jpg,Does the case have print?,Yes,yes
72/72469c3f.jpg,What is the design printed?,Mustache,floral
ff/ff13dcc9.jpg,What color is it?,Black,black
21/21ba04f9.jpg,What is the brand?,Happy,365
42/42f59719.jpg,What is it?,Microphone,case
66/66f3a68c.jpg,What type of case?,Hard,hard
0e/0e8178b3.jpg,What is the case's pattern?,Chevron,floral
ee/ee8ee952.jpg,What is the brand?,Solimo,solimo
54/540c927d.jpg,What is the brand?,Eono,solimo
fb/fb04943b.jpg,What kind of chips?,Pita,halo
66/66f3a68c.jpg,What is the case's color?,Others,multicolor
95/957ce2a7.jpg,What material is it?,Steel,plastic
4d/4d1b283f.jpg,What is the brand?,Amazon,amazon
85/85c752c0.jpg,What is its type?,Case,case
37/37715cf2.jpg,What is the shoe's style?,Casual,sneakers
77/77f75efb.jpg,What is the cover style?,Designer,professional
e1/e1fe3898.jpg,What is it made of?,Hardback,hard
ee/ee8ee952.jpg,What is the product type?,Case,case
20/20533b83.jpg,What company is this?,Amazon,amazon
d5/d50fdda9.jpg,Is cinnamon included?,Yes,yes
b5/b540941c.jpg,What's the cover's design?,Mash,printed
1d/1df07b99.jpg,What is the material?,Glass,glass
20/20da5515.jpg,What is the brand?,Solimo,solimo
07/07fbc42d.jpg,What is the case's pattern?,Puppy,floral
29/29f1f761.jpg,What is the case's material?,Plastic,plastic
38/38a4f1a1.jpg,What is the number printed?,Three,30
28/28c9d171.jpg,What is the case's color?,Others,multicolor
06/06e4e75a.jpg,What is the case's material?,Plastic,plastic
3f/3f810730.jpg,What is the heel height?,Flat,inch
d8/d87e51cf.jpg,What is the main material?,Plastic,plastic
fe/fe1c02ea.jpg,What is the brand?,Stone,amazonbasics
ee/ee8ee952.jpg,What is the item color?,Others,others
49/49b1b22b.jpg,What is it printed?,3D,3d
10/104bb299.jpg,What is the brand?,Solimo,solimo
72/72e52a1e.jpg,What is the brand?,Stone,umi
c2/c2f5c4a5.jpg,What type of case is it?,Hard,hard
51/51efb69a.jpg,What is the weight in grams?,50,50
2c/2c3d05c5.jpg,What kind of art is it?,Wall,wall
ee/ee8ee952.jpg,What is the color?,Others,multicolor
66/66f3a68c.jpg,What is the cover print?,Paint,3d
74/74473c08.jpg,What is the primary case style?,Pattern,professional
85/85192c70.jpg,What type of case is it?,Designer,phone
93/936dc5e0.jpg,Is it washable?,Yes,yes
41/41451ef7.jpg,Is it artificial?,No,no
80/80895405.jpg,What is the product's type?,Grocery,grocery
bb/bb754de6.jpg,What is the cover color?,Clear,white
6f/6fa19cec.jpg,What shape is this case?,Rectangle,rectangular
da/da455922.jpg,Is it for indoor use?,Yes,yes
42/426a357b.jpg,What is the sofa's height?,26.8,38
de/dea63308.jpg,Are the stones clear?,Yes,yes
fb/fb0a3d26.jpg,What kind of shoes are these?,Shoes,shoes
23/23296528.jpg,What is the outer material?,Synthetic,mesh
2a/2aec22f8.jpg,What is the model's name?,Itel,a3s
5e/5e5a6e60.jpg,What is the quantity?,Two,two
17/177f4cb6.jpg,Is it patterned?,Yes,yes
d2/d24ac17c.jpg,What is the phone case brand?,Solimo,solimo
6d/6dfd29b5.jpg,What is the material?,Leather,leather
40/4002cbe8.jpg,Is it for gaming?,Yes,yes
4d/4d2b615b.jpg,What is the color?,White,white
ee/ee8ee952.jpg,What type of cover?,Back,back
bb/bbb54642.jpg,What heel type?,Flats,flats
51/514ac672.jpg,What is the brand?,Ravenna,amazonbasics
fe/fe3bbe6b.jpg,What brand is this?,AmazonBasics,amazonbasics
70/706a3270.jpg,What is the product type?,Case,case
b4/b4522a31.jpg,What is the juice color?,Red,red
49/49b1b22b.jpg,What is the product type?,Case,grocery
1d/1db8cffc.jpg,What is the metal?,Gold,silver
15/15405883.jpg,Is it washable?,Yes,yes
82/82b956d0.jpg,Is it trade cocoa?,Fair,yes
d3/d3885e08.jpg,What is the material of this case?,Plastic,plastic
2f/2f357c87.jpg,What is the case color?,Multicolor,multicolor
08/08ab666a.jpg,What is the model number?,SW-WC03,118al132
75/7555c6b1.jpg,What color is the chair?,Beige,brown
a8/a8072285.jpg,What is the breed?,Small,chicken
b5/b55eebf3.jpg,What is the style?,INNIS-S-10,flip-flops
d1/d1e1346d.jpg,What type of print?,3D,3d
88/8840bca8.jpg,Is it zippered?,No,yes
28/28215d4c.jpg,What is the brand?,Stone,solimo
