image_path,question,answer, answer
f3/f3a84254.jpg,What is the phone case brand?,Solimo,
f3/f3a84254.jpg,What is the case color?,Multi-colored,
f3/f3a84254.jpg,What phone is this case for?,Xiaomi,
f3/f3a84254.jpg,What is the case design?,Dream,
f3/f3a84254.jpg,What type of case is it?,Case,
57/57256bc3.jpg,What is the product's brand?,Solimo,
57/57256bc3.jpg,What is the phone case's color?,Multicolor,
57/57256bc3.jpg,What is the phone's model?,Note,
57/57256bc3.jpg,Is the design printed?,Yes,
57/57256bc3.jpg,What is the product type?,Case,
05/05db98d0.jpg,What is the brand?,Solimo,
05/05db98d0.jpg,What is the phone case color?,Multicolor,
05/05db98d0.jpg,What is the model name?,Xiaomi,
05/05db98d0.jpg,What is the product type?,Case,
05/05db98d0.jpg,Is the design for boys?,No,
05/05db98d0.jpg,What is the design style?,Dream,
05/05db98d0.jpg,Is there a unicorn?,Yes,
8e/8e806815.jpg,What is the case's brand?,Solimo,
8e/8e806815.jpg,What is the phone case color?,Multicolored,
8e/8e806815.jpg,What phone is the case for?,Xiaomi,
8e/8e806815.jpg,What is the product type?,Case,
8e/8e806815.jpg,Is the cover transparent?,No,
89/89681f77.jpg,What is the brand?,Solimo,
89/89681f77.jpg,What is the phone model?,Xiaomi,
89/89681f77.jpg,What is the case's color?,Multicolored,
89/89681f77.jpg,What type of product is this?,Case,
89/89681f77.jpg,Does the case have a print?,Yes,
89/89681f77.jpg,Is the design detailed?,Yes,
89/89681f77.jpg,What is the item's style?,Designer,
89/89681f77.jpg,Is the case protective?,Yes,
37/37dc1d86.jpg,What is the case's color?,Multicolor,
37/37dc1d86.jpg,What is the brand?,Solimo,
37/37dc1d86.jpg,What is the phone model?,Xiaomi,
37/37dc1d86.jpg,What is the product type?,Case,
37/37dc1d86.jpg,Is the surface glossy?,Yes,
37/37dc1d86.jpg,Does the case have graphics?,Yes,
b6/b6ceb52f.jpg,What brand is this?,find,
b6/b6ceb52f.jpg,What is the shoe color?,Red,
b6/b6ceb52f.jpg,What is the shoe style?,Brogue,
b6/b6ceb52f.jpg,What is the model name?,Abbott,
b6/b6ceb52f.jpg,What is the sole material?,Rubber,
b6/b6ceb52f.jpg,What is the product type?,Shoes,
a5/a59fba00.jpg,What brand is this?,find,
a5/a59fba00.jpg,What is the shoe style?,Brogue,
a5/a59fba00.jpg,What is the sole material?,Rubber,
a5/a59fba00.jpg,What color are the shoes?,Red,
a5/a59fba00.jpg,What is the model name?,Abbott,
a5/a59fba00.jpg,What type of shoes are these?,Shoes,
a5/a59fba00.jpg,Are these shoes patent?,Yes,
bc/bcb34032.jpg,What is the shoe's color?,Burgundy,
bc/bcb34032.jpg,What is the brand?,find,
bc/bcb34032.jpg,What is the sole material?,Rubber,
bc/bcb34032.jpg,What is the shoe style?,Brogue,
bc/bcb34032.jpg,Is it matte or patent?,Patent,
ea/ea6d0739.jpg,What is the brand?,find,
ea/ea6d0739.jpg,What is the shoe style?,Brogue,
ea/ea6d0739.jpg,What is the sole material?,Rubber,
ea/ea6d0739.jpg,What color are the shoes?,Red,
ea/ea6d0739.jpg,What is the model name?,Abbott,
f6/f6d68dde.jpg,What is the brand?,find,
