image_path,question,answer, answer
d8/d89025e7.jpg,What is the case's material?,Plastic,
a1/a1de42b2.jpg,Is this product organic?,Yes,
82/822d1bf3.jpg,What is the product type?,Case,
ec/ecff1f78.jpg,What is the main color?,Gold,
04/04db10d7.jpg,What is the product type?,Case,
22/22f0ae18.jpg,What is the color?,Indigo,
4e/4e0e71b4.jpg,What is it made of?,TPU,
57/57a2e195.jpg,What is the brand?,Solimo,
77/77fa6dd6.jpg,What's the model name?,Samsung,
e4/e41ca2b5.jpg,What is the primary material?,Polyester,
66/66f3a68c.jpg,What brand is it?,Solimo,
d9/d9813967.jpg,Is it sold on Amazon?,Yes,
ce/ceb3f110.jpg,What is the material?,Polyester,
dd/dd2a2615.jpg,What is the food type?,Noodle,
9f/9fa8c113.jpg,What color is it?,Black,
43/43feac3a.jpg,What is the brand?,Solimo,
50/50cdc632.jpg,What is the product type?,Home,
8b/8bc8089b.jpg,What animal is pictured?,Dog,
8b/8b7a86a3.jpg,What is the product type?,Shoes,
49/49b1b22b.jpg,What is the case pattern?,Doodel,
84/84245168.jpg,What is the brand?,Solimo,
dd/dd834988.jpg,What is the ring's color?,Silver,
66/66f3a68c.jpg,What is the main color?,Others,
8e/8e892252.jpg,What is the frame color?,Black,
e7/e7226105.jpg,What is the style?,Panel,
73/7383c13d.jpg,What is the shoe brand?,Flavia,
2f/2f357c87.jpg,What is the primary material?,Silicon,
73/730f7bf9.jpg,What is the color of one cloth?,Yellow,
bb/bb80a416.jpg,What is the style?,Circle,
18/188f8539.jpg,What is the brand?,Symbol,
5e/5e991dce.jpg,What is the brand?,AmazonBasics,
ee/ee8ee952.jpg,What is the case's style?,Designer,
08/0844c62c.jpg,Are these wipes scented?,Unscented,
ea/ea3b7ca5.jpg,What are these shoes?,Sports,
85/85192c70.jpg,What brand is this?,Solimo,
ba/baefe6a1.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,Is it hard or soft?,Hard,
f2/f21030a1.jpg,What is the item shape?,PAR16,
74/7427d514.jpg,What is the style?,Ainsley,
e9/e94034db.jpg,What is the model?,Polo,
ec/ec265c95.jpg,Is it organic?,Yes,
d5/d5ea3e70.jpg,What is the necklace initial?,L,
4c/4c685f5d.jpg,What shape is the rug?,Rectangular,
b5/b533b464.jpg,What color are gloves?,Grey,
1d/1d6094ee.jpg,What brand is this?,AmazonFresh,
ff/ffd1dfd9.jpg,What is the pattern?,Vine,
19/19df66c5.jpg,What is the bed's material?,Metal,
13/13f0fdde.jpg,Is it foldable?,Yes,
bd/bdc48e67.jpg,What is the case's pattern?,Candies,
37/372c8163.jpg,Is it magnetic?,Yes,
99/9970470a.jpg,What is the brand?,365,
ed/ed82f5eb.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What is the brand?,Solimo,
57/57e8bb06.jpg,What color is headboard?,White,
ee/ee8ee952.jpg,What kind of print?,3D,
66/66f3a68c.jpg,What is the case's color?,Others,
49/49b1b22b.jpg,What is the cover pattern?,Pink,
b3/b37f414b.jpg,What is it made of?,PVC,
