image_path,question,answer, answer
f8/f830eb7a.jpg,What color are these shoes?,Beige,
d5/d55cfc0b.jpg,What is the brand?,Solimo,
22/22d408f2.jpg,What is the earring's color?,Black,
46/466c8a72.jpg,Is it patterned?,Yes,
1b/1b4cb465.jpg,Is there a strap?,Yes,
85/85192c70.jpg,What brand is it?,Solimo,
ee/ee8ee952.jpg,What is the brand?,Solimo,
69/69f67283.jpg,What is the pattern?,Alphabet,
02/02ea1891.jpg,What is the sandal's style?,Chester,
35/35fb5c28.jpg,What pattern does it have?,,
59/591c1211.jpg,What phone is it for?,Oppo,
49/49b1b22b.jpg,What is the product brand?,Solimo,
9f/9f6f86ac.jpg,What type of case?,Hard,
9b/9b7774df.jpg,What is the blanket's shape?,Square,
f7/f77b107d.jpg,What is it made of?,Aluminium,
49/49b1b22b.jpg,What is the case type?,Hard,
64/64ca4c32.jpg,What are the holders made of?,Vinyl,
3d/3de6a4c0.jpg,What is the brand?,Symbol,
2d/2d628483.jpg,Is the cover 3D?,Yes,
00/009431ed.jpg,What type of case is it?,Hard,
cb/cb3baed7.jpg,What is it for?,Blush,
51/5198b983.jpg,What type of case?,Hard,
5f/5fa297b0.jpg,What is the chair's color?,Grey,
ee/ee8ee952.jpg,What is the color?,Others,
cd/cdb61510.jpg,What is the brand?,Solimo,
65/659b829f.jpg,What is the brand?,Solimo,
72/722f58b2.jpg,What are included in the set?,Chairs,
f8/f8084dfe.jpg,What color is it?,Grey,
ee/ee8ee952.jpg,For which model?,Vivo,
5c/5cfa0d77.jpg,What is the product's color?,Grey,
b7/b75aa913.jpg,What is the brand?,AmazonBasics,
ee/ee8ee952.jpg,What is the brand?,Solimo,
a5/a5b2a217.jpg,What is the pack size?,Five,
8a/8a5c8b86.jpg,What kind of spice is this?,Garlic,
2f/2f357c87.jpg,What is the phone case color?,Multicolor,
ee/ee8ee952.jpg,What is the case for?,Phone,
2d/2df033d1.jpg,What is the color?,Tan/White,
a7/a7650ba2.jpg,What is the product's style?,Premium,
49/49b1b22b.jpg,What type of case?,Hard,
49/49b1b22b.jpg,For what model is this?,Oppo,
2a/2af5eb88.jpg,What is the product type?,Case,
12/12ad706c.jpg,What is the design printed?,Juice,
b3/b3e5e00d.jpg,What is the model name?,Shoe,
58/58b09ed4.jpg,Is it a patterned case?,Yes,
40/4027adf2.jpg,What is the brand?,find,
99/991e7a22.jpg,What is the phone case brand?,Solimo,
7a/7a3caf11.jpg,What is the case's color?,Multicolor,
f9/f91e729b.jpg,What is the brand?,Solimo,
71/7126a387.jpg,What is the item shape?,Rectangular,
4a/4a3da792.jpg,What is the product type?,Sofa,
d0/d013dfc9.jpg,Is the case soft?,Yes,
4d/4dd61b9f.jpg,What is the paper material?,Paper,
8a/8a6bf165.jpg,Is it foam coated?,Yes,
13/13f32985.jpg,Is the shoe lace-up?,Yes,
50/50eecfd6.jpg,What brand is this?,Solimo,
ca/ca9a5b96.jpg,What kind of bag is it?,Tea,
ee/ee8ee952.jpg,What is the product's brand?,Solimo,
49/49b1b22b.jpg,What brand is it?,Solimo,
e2/e2c09ee8.jpg,What is the product type?,Case,
6f/6fca6b0d.jpg,What is the toe style?,Round,
26/2663b949.jpg,What is the fabric?,Synthetic,
5d/5d50318d.jpg,What type of product is this?,Chair,
fa/fa681cfd.jpg,What color are these?,Black,
66/66f3a68c.jpg,What kind of case is it?,Hard,
d3/d3717c7a.jpg,What brand is it?,Amazon,
d8/d87e51cf.jpg,What type of product?,Case,
f7/f70b806a.jpg,What is the brand?,Rivet,
ee/ee8ee952.jpg,What is the case's color?,Others,
51/51367f84.jpg,What is the product type?,BOOT,
20/20533b83.jpg,What flavor is it?,Vanilla,
ba/baa4187d.jpg,What is the case material?,Silicone,
71/71083dd8.jpg,What month does this represent?,September,
52/5201cccc.jpg,What is the phone model?,XS,
d8/d89025e7.jpg,What type of cover is this?,Back,
88/8849f278.jpg,What kind of product is this?,Shoes,
7e/7e108d3e.jpg,What is the brand?,Franklin,
66/66f3a68c.jpg,What is the brand?,Solimo,
f6/f667b568.jpg,What is the case's color?,Others,
2b/2b11046e.jpg,Is it hard or soft?,Hard,
64/642e22fd.jpg,What's the brand?,Solimo,
a3/a353807c.jpg,What is the brand?,Solimo,
45/45456ce7.jpg,What shape is it?,,Rectangular
37/37e4eb1e.jpg,What is the item height?,31,
e1/e135c018.jpg,What is the chair's color?,Hemp,
ca/caaf598f.jpg,What is the shoe's material?,Mesh,
03/038dc5cd.jpg,Is there a bow on the cover?,Yes,
c8/c8b73611.jpg,What type of product is it?,Chair,
d8/d87e51cf.jpg,What is the design color?,Multicolor,
36/36cae1bf.jpg,What is the product's color?,Multicolor,
de/def781cc.jpg,What is maximum neck size for size S?,16,
ee/ee8ee952.jpg,What is the product's brand?,Solimo,
99/99bf1a7d.jpg,What kind of toe style is it?,Round,
99/99c65909.jpg,What brand is this?,Solimo,
e4/e455d6c7.jpg,What is the main color?,Multicolor,
98/983e3bbc.jpg,What is the color?,July,
a9/a94ebd8a.jpg,What fabric is it?,Synthetic,
69/699bbc81.jpg,What kind of product is this?,Beauty,
81/81ba23c6.jpg,What letter is displayed?,X,
3f/3f346648.jpg,What is the ring's material?,Metal,
03/03ddd048.jpg,What is the model name?,Xiaomi,
3f/3f449215.jpg,What is the case's pattern?,Peacock,
fb/fb1fb09b.jpg,What is the shoe style?,Sneakers,
b3/b3a488f8.jpg,What is the item form?,Lotion,
29/2931fb5d.jpg,What style is this?,Chester,
2f/2f357c87.jpg,What is the material?,Silicone,
36/36cae1bf.jpg,What is it made of?,Plastic,
10/1013adde.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What is the phone model?,Motorola,
26/262dde25.jpg,What is the color?,Others,
4c/4c7eddd4.jpg,What is the design?,Kitty,
2f/2f357c87.jpg,What is the design?,Kitty,
ca/ca99cd40.jpg,What is the case's pattern?,Plaid,
e9/e95603f9.jpg,What is it made of?,Silicon,
23/2387f192.jpg,What is the product brand?,Stone,
bc/bc830986.jpg,What pattern is on the vase?,Geometric,
71/71ec2db9.jpg,What is it made of?,Aluminum,
66/66f3a68c.jpg,What is the phone model?,Huawei,
07/078b26a7.jpg,What is the brand?,Fresh,
cb/cb3baed7.jpg,What is the item's color?,Black,
b9/b909376e.jpg,What is the product's scent?,Linen,
fb/fb5d2671.jpg,What color is this item?,Black,
66/66f3a68c.jpg,Is it hard or soft?,Hard,
88/88994394.jpg,What is the product type?,Case,
2a/2af5eb88.jpg,Is it a cover?,Yes,
cf/cf002a0c.jpg,Is there a zipper?,Yes,
85/85192c70.jpg,What is the model?,Nokia,
55/55e89a15.jpg,What is the rug's brand?,Stone,
ce/ce391337.jpg,What is the product type?,Shoes,
e6/e6009d3e.jpg,What is it made of?,Steel,
e3/e3f5f7a4.jpg,What is the closure type?,Slip,
cf/cfe7cb84.jpg,What is the brand?,Solimo,
2a/2af5eb88.jpg,What is the color?,Multicolor,
38/38a1239c.jpg,What is the supplement type?,Vitamin,
bc/bc18c6d9.jpg,What brand is this?,find,
8b/8b99432f.jpg,What brand is this?,365,
e4/e40b63eb.jpg,What is the phone case's color?,Multicolor,
2a/2af5eb88.jpg,What is the product type?,Case,
2d/2d47a456.jpg,Is it a designer cover?,Yes,
04/049f0d3a.jpg,What is the sofa's color?,Pewter,
ee/ee8ee952.jpg,What is the case brand?,Solimo,
52/5263cb0b.jpg,What type of milk is it?,Whole,
a4/a4a83dfd.jpg,What is the brand?,Solimo,
b5/b5ce3840.jpg,What brand is this lamp?,AmazonBasics,
2a/2af5eb88.jpg,What kind of case is this?,Hard,
29/299828f2.jpg,What is the design style?,Stylish,
e8/e826a79e.jpg,What brand is this?,Solimo,
2f/2f357c87.jpg,What is the design's theme?,Heart,
3d/3d27ee9f.jpg,What is the design of case?,Heart,
0e/0e62a5bc.jpg,What is the product form?,Mix,
ee/ee8ee952.jpg,What is the product color?,Others,
65/65e2e9cf.jpg,What is the style?,90s,
ee/ee8ee952.jpg,Is it 3D printed?,Yes,
a7/a77ea959.jpg,What is the brand?,AmazonBasics,
79/7918978a.jpg,What is the case's color?,Others,
07/076c2740.jpg,What is the container's material?,Plastic,
49/49b1b22b.jpg,What is the product color?,Others,
0d/0dc793f2.jpg,What is the case's color?,Others,
82/82d52379.jpg,What is the color?,Multi,
5e/5e65f1a7.jpg,What shape is the bag?,Stand-up,
7c/7cae9bb6.jpg,What kind of product is it?,Ottoman,
ee/ee8ee952.jpg,What is the phone model?,Samsung,
0e/0e86d54c.jpg,What brand is this?,Solimo,
aa/aa457a8f.jpg,What is the kettlebell's color?,Green,
41/41c22163.jpg,What type of product is it?,Shoes,
66/66f3a68c.jpg,What is the brand?,Solimo,
3f/3f1b1bf6.jpg,What is the shoe color?,Gold,
ff/ff78c30a.jpg,What is the item style?,Modern,
df/dfafa2e1.jpg,What is the style of shoe?,Derby,
2f/2f357c87.jpg,What is the type?,Case,
ee/ee8ee952.jpg,What is the brand?,Solimo,
50/50aa8ffb.jpg,What is the item type?,Case,
43/4317d306.jpg,What is the item shape?,Rectangular,
66/66f3a68c.jpg,What is the brand?,Solimo,
4c/4c910fdc.jpg,What is the color?,Multicoloured,
62/6229da88.jpg,Is it 3D?,Yes,
78/78489fd4.jpg,What is the brand?,find,
ee/ee8ee952.jpg,What brand is this?,Solimo,
8a/8a1bbb58.jpg,What is the fabric?,Velvet,
47/47f0c738.jpg,What is the product type?,Case,
48/48b38440.jpg,What is the rug material?,Sisal,
81/81f5fc2b.jpg,What is the pattern?,Single,
90/909276fc.jpg,What is the product type?,Ottoman,
a2/a2a12358.jpg,Is it a hard case?,Yes,
58/584a31cb.jpg,Is it a frying pan?,Yes,
99/99d9db61.jpg,How many drawers does it have?,Three,
85/85192c70.jpg,What is the product type?,Case,
ae/aea88ca9.jpg,What is the main color?,Taupe,
fe/fec2f48b.jpg,What is the case's color?,Multicolor,
d5/d530cb09.jpg,What is the design printing?,3D,
8f/8f9a881c.jpg,What is the closure type?,Slip-on,
49/49b1b22b.jpg,Is it printed?,Yes,
a1/a1f44f5a.jpg,What is the sofa's color?,Charcoal,
ee/ee8ee952.jpg,What is the phone model?,Xiaomi,
75/752ac3de.jpg,What brand is this?,Solimo,
d5/d58e2e8b.jpg,What is the model?,LGQ7,
2f/2f357c87.jpg,What is the material?,Silicon,
66/66f3a68c.jpg,What is the case style?,Hard,
86/863af7a4.jpg,Is assembly needed?,No,
0e/0e368752.jpg,What color is shown?,Multicolor,
1a/1a951e75.jpg,What is the chair material?,Plastic,
c2/c29a6859.jpg,What type is it?,Case,
16/16c4fc09.jpg,What is the closure type?,Buckle,
39/39d3ced4.jpg,Is bulb included?,Yes,
f4/f4556c44.jpg,What color are these shoes?,Black,
a0/a00587a8.jpg,What color is it?,Burgundy,
e0/e02f735f.jpg,Is the cover printed?,Yes,
66/66f3a68c.jpg,Is it slim?,Yes,
3b/3b0fc001.jpg,What is the material?,Silicone,
2a/2af5eb88.jpg,What is it made of?,Plastic,
a4/a47a355f.jpg,What is the product's origin?,Middle-Eastern,
48/4818df7e.jpg,What is the case material?,Silicone,
28/28d240e9.jpg,What is the product brand?,Wickedly,
f5/f5de1dcf.jpg,What is the brand?,Stone,
7b/7b9baed2.jpg,What is the material?,Fabric,
00/004b983f.jpg,What kind of dessert is this?,Icecream,
85/85192c70.jpg,What is the pattern?,Photography,
ee/ee8ee952.jpg,What kind of case is it?,Hard,
40/40362087.jpg,What color is the artichoke?,Green,
a0/a0b80ae1.jpg,What is the bag's style?,Handbag,
34/34125ee4.jpg,What is the product type?,Safe,
f5/f538be07.jpg,What is the design?,Impression,
10/10d67b4f.jpg,What color is it?,Black,
66/66f3a68c.jpg,What is the case's color?,Others,
d8/d87e51cf.jpg,What is the main material?,Plastic,
41/41fe4260.jpg,What is the bag's brand?,Amazon,
04/04dde262.jpg,What is the case's brand?,Solimo,
01/017b8a56.jpg,Is it high in fiber?,Yes,
2f/2f0d370e.jpg,Is it furry?,Yes,
ee/ee8ee952.jpg,Is the cover 3D printed?,Yes,
da/dae2b56c.jpg,What type of phone is it for?,iPhone,
0e/0ecb7884.jpg,What is the brand?,AmazonBasics,
d3/d3c87405.jpg,What toe style?,Closed,
49/49b1b22b.jpg,What is the color of the case?,Others,
39/39f1b16e.jpg,Is it a backpack?,Yes,
